BLAIS Danae POSITION,BLAIS Danae LAP TIME,BLAIS Danae ELAPSED TIME,PIERRON Veronique POSITION,PIERRON Veronique LAP TIME,PIERRON Veronique ELAPSED TIME,Marijn WIERSMA POSITION,Marijn WIERSMA LAP TIME,Marijn WIERSMA ELAPSED TIME,VIVIANI Elena POSITION,VIVIANI Elena LAP TIME,VIVIANI Elena ELAPSED TIME,LETAI Julie POSITION,LETAI Julie LAP TIME,LETAI Julie ELAPSED TIME
2,14.25,14.25,1,14.12,,5,14.44,,3,14.34,14.34,4,14.35,14.35
1,10.12,24.37,2,10.33,,2,10.01,,4,10.28,24.62,5,10.41,24.76
2,9.89,34.26,3,9.87,,1,9.58,,4,9.82,34.44,5,9.71,34.47
2,9.60,43.86,3,9.66,,1,9.78,,5,9.69,44.13,4,9.62,44.09
1,9.25,53.11,2,9.30,,4,9.62,,3,9.24,53.37,5,9.46,53.55
1,9.38,1:02.49,5,9.84,,3,9.36,,2,9.27,1:02.64,4,9.41,1:02.96
1,9.40,1:11.89,5,10.18,,3,9.47,,2,9.49,1:12.13,4,9.44,1:12.40
1,9.60,1:21.49,5,10.80,,3,9.63,,2,9.62,1:21.75,4,9.63,1:22.03
1,9.78,1:31.27,4,13.05,,5,29.02,,2,9.92,1:31.67,3,10.39,1:32.424
