CHENG Xiao Lei POSITION,CHENG Xiao Lei LAP TIME,CHENG Xiao Lei ELAPSED TIME,Amanda OVERLAND POSITION,Amanda OVERLAND LAP TIME,Amanda OVERLAND ELAPSED TIME,Olesya OSKINA POSITION,Olesya OSKINA LAP TIME,Olesya OSKINA ELAPSED TIME,Katia ZINI POSITION,Katia ZINI LAP TIME,Katia ZINI ELAPSED TIME
1,7.407,7.407,3,7.586,7.586,2,7.498,7.498,4,7.668,7.668
1,9.777,17.183,3,9.915,17.501,4,23.081,30.579,2,9.712,17.380
1,9.364,26.547,2,9.242,26.742,4,25.359,55.938,3,9.397,26.776
2,9.447,35.994,3,9.409,36.150,4,19.019,1:14.956,1,9.129,35.905
1,9.62,45.613,2,9.47,45.616,4,12.24,1:27.189,3,9.81,45.707
