Bernadett HEIDUM POSITION,Bernadett HEIDUM LAP TIME,Bernadett HEIDUM ELAPSED TIME,SEJPALOVA-HRUZOVA Michaela POSITION,SEJPALOVA-HRUZOVA Michaela LAP TIME,SEJPALOVA-HRUZOVA Michaela ELAPSED TIME,Ranya EZZI POSITION,Ranya EZZI LAP TIME,Ranya EZZI ELAPSED TIME,Hitomi SAITO POSITION,Hitomi SAITO LAP TIME,Hitomi SAITO ELAPSED TIME,Audrey PHANEUF POSITION,Audrey PHANEUF LAP TIME,Audrey PHANEUF ELAPSED TIME,DESMET Hanne POSITION,DESMET Hanne LAP TIME,DESMET Hanne ELAPSED TIME
6,11.33,11.33,3,10.82,10.82,4,11.01,11.01,5,11.05,11.05,2,10.76,10.76,1,10.49,10.49
4,13.20,24.53,6,13.81,24.63,5,13.59,24.60,2,13.37,24.42,3,13.73,24.49,1,13.85,24.34
4,12.05,36.58,5,12.07,36.70,1,11.49,36.09,2,11.82,36.24,6,12.23,36.72,3,12.04,36.38
4,11.05,47.63,6,11.04,47.74,1,11.28,47.37,2,11.21,47.45,5,10.97,47.69,3,11.18,47.56
5,10.49,58.12,6,10.58,58.32,3,10.66,58.03,2,10.51,57.96,1,10.19,57.88,4,10.55,58.11
2,10.44,1:08.56,5,10.50,1:08.82,6,10.91,1:08.94,3,10.71,1:08.67,1,10.60,1:08.48,4,10.62,1:08.73
2,10.72,1:19.28,5,10.73,1:19.55,6,10.73,1:19.67,4,10.74,1:19.41,1,10.74,1:19.22,3,10.63,1:19.36
2,10.09,1:29.37,5,10.20,1:29.75,6,10.29,1:29.96,4,10.20,1:29.61,3,10.25,1:29.47,1,9.81,1:29.17
2,9.77,1:39.14,5,9.75,1:39.50,6,9.96,1:39.92,4,9.72,1:39.33,3,9.76,1:39.23,1,9.88,1:39.05
2,9.78,1:48.92,5,9.87,1:49.37,6,10.00,1:49.92,4,9.81,1:49.14,3,9.82,1:49.05,1,9.79,1:48.84
4,10.11,1:59.03,5,9.90,1:59.27,6,10.25,2:00.17,2,9.60,1:58.74,3,9.75,1:58.80,1,9.76,1:58.60
5,11.43,2:10.46,4,10.30,2:09.57,6,10.58,2:10.75,2,9.74,2:08.48,3,9.80,2:08.60,1,9.86,2:08.46
6,11.89,2:22.35,4,10.58,2:20.15,5,10.61,2:21.36,1,9.93,2:18.41,2,9.91,2:18.51,3,10.13,2:18.59
6,12.45,2:34.769,4,10.90,2:31.023,5,10.80,2:32.137,1,10.16,2:28.57,2,10.30,2:28.81,3,10.55,2:29.112
