LIU Yang POSITION,LIU Yang LAP TIME,LIU Yang ELAPSED TIME,Kasandra BRADETTE POSITION,Kasandra BRADETTE LAP TIME,Kasandra BRADETTE ELAPSED TIME,Jennifer PICKERING POSITION,Jennifer PICKERING LAP TIME,Jennifer PICKERING ELAPSED TIME,KONSTANTINOVA Ekaterina POSITION,KONSTANTINOVA Ekaterina LAP TIME,KONSTANTINOVA Ekaterina ELAPSED TIME
2,14.19,14.19,1,14.09,14.09,4,14.35,,3,14.26,14.26
2,12.00,26.19,1,11.96,26.05,4,12.05,,3,12.04,26.30
1,10.74,36.93,2,10.99,37.04,4,10.93,,3,10.88,37.18
1,10.55,47.48,2,10.58,47.62,4,10.53,,3,10.57,47.75
1,10.11,57.59,2,10.05,57.67,4,10.09,,3,9.96,57.71
1,9.51,1:07.10,3,9.60,1:07.27,4,9.84,,2,9.52,1:07.23
1,9.41,1:16.51,3,9.37,1:16.64,4,10.04,,2,9.37,1:16.60
1,9.51,1:26.02,3,9.57,1:26.21,4,10.65,,2,9.53,1:26.13
1,9.80,1:35.82,3,9.99,1:36.20,4,11.03,,2,9.75,1:35.88
