SOMODI Maja POSITION,SOMODI Maja LAP TIME,SOMODI Maja ELAPSED TIME,KIM Geon Hee POSITION,KIM Geon Hee LAP TIME,KIM Geon Hee ELAPSED TIME,BRUNELLE Florence POSITION,BRUNELLE Florence LAP TIME,BRUNELLE Florence ELAPSED TIME,Anne Floor OTTER POSITION,Anne Floor OTTER LAP TIME,Anne Floor OTTER ELAPSED TIME,CHANG Hui POSITION,CHANG Hui LAP TIME,CHANG Hui ELAPSED TIME,VELZEBOER Xandra POSITION,VELZEBOER Xandra LAP TIME,VELZEBOER Xandra ELAPSED TIME,Hanna SOKOLOWSKA POSITION,Hanna SOKOLOWSKA LAP TIME,Hanna SOKOLOWSKA ELAPSED TIME
5,9.21,9.21,2,8.83,8.83,1,8.72,8.72,3,8.95,8.95,7,9.37,9.37,4,9.08,9.08,6,9.27,9.27
5,12.64,21.85,2,12.62,21.45,1,12.59,21.31,3,12.60,21.55,6,12.56,21.93,4,12.64,21.72,7,12.68,21.95
6,11.90,33.75,4,12.06,33.51,2,11.82,33.13,3,11.85,33.40,1,11.09,33.02,5,11.93,33.65,7,11.94,33.89
6,11.80,45.55,4,11.81,45.32,1,11.88,45.01,3,11.78,45.18,2,12.07,45.09,5,11.80,45.45,7,11.74,45.63
6,11.56,57.11,2,11.42,56.74,1,11.66,56.67,2,11.56,56.74,4,11.68,56.77,5,11.52,56.97,7,11.60,57.23
7,10.99,1:08.10,1,10.97,1:07.71,2,11.14,1:07.81,3,11.16,1:07.90,4,11.19,1:07.96,5,11.01,1:07.98,6,10.80,1:08.03
7,11.80,1:19.90,1,11.63,1:19.34,3,11.57,1:19.38,2,11.47,1:19.37,4,11.58,1:19.54,5,11.69,1:19.67,6,11.74,1:19.77
7,10.83,1:30.73,3,11.01,1:30.35,1,10.75,1:30.13,2,10.86,1:30.23,4,10.90,1:30.44,5,10.78,1:30.45,6,10.84,1:30.61
7,10.56,1:41.29,4,10.61,1:40.96,1,10.45,1:40.58,2,10.45,1:40.68,3,10.37,1:40.81,5,10.61,1:41.06,6,10.56,1:41.17
7,9.94,1:51.23,3,9.85,1:50.81,1,10.04,1:50.62,2,10.05,1:50.73,4,10.03,1:50.84,5,9.87,1:50.93,6,9.95,1:51.12
7,9.52,2:00.75,1,8.99,1:59.80,2,9.37,1:59.99,4,9.63,2:00.36,5,9.73,2:00.57,3,9.19,2:00.12,6,9.53,2:00.65
7,9.72,2:10.47,1,8.99,2:08.79,2,9.02,2:09.01,4,9.64,2:10.00,5,9.67,2:10.24,3,9.01,2:09.13,6,9.69,2:10.34
7,9.76,2:20.23,1,9.23,2:18.02,2,9.11,2:18.12,4,9.95,2:19.95,5,9.82,2:20.06,3,9.21,2:18.34,6,9.81,2:20.15
7,10.30,2:30.538,1,9.57,2:27.59,2,9.58,2:27.70,4,10.26,2:30.21,6,10.27,2:30.331,3,9.58,2:27.92,5,10.10,2:30.25
