Szandra LAJTOS POSITION,Szandra LAJTOS LAP TIME,Szandra LAJTOS ELAPSED TIME,Malwina ZAWADA POSITION,Malwina ZAWADA LAP TIME,Malwina ZAWADA ELAPSED TIME,Deanna LOCKETT POSITION,Deanna LOCKETT LAP TIME,Deanna LOCKETT ELAPSED TIME,Alex STANLEY POSITION,Alex STANLEY LAP TIME,Alex STANLEY ELAPSED TIME,Veronika WINDISCH POSITION,Veronika WINDISCH LAP TIME,Veronika WINDISCH ELAPSED TIME,KIM Dam Min POSITION,KIM Dam Min LAP TIME,KIM Dam Min ELAPSED TIME
1,8.91,8.91,2,9.05,9.05,5,9.59,9.59,4,9.43,9.43,3,9.24,9.24,6,9.82,9.82
1,12.39,21.30,2,12.36,21.41,5,12.24,21.83,4,12.24,21.67,3,12.32,21.56,6,12.14,21.96
1,12.14,33.44,2,12.16,33.57,5,12.12,33.95,4,12.10,33.77,3,12.11,33.67,6,12.12,34.08
2,11.87,45.31,3,11.83,45.40,5,11.73,45.68,4,11.78,45.55,1,11.60,45.27,6,11.73,45.81
3,11.20,56.51,4,11.21,56.61,6,11.10,56.78,5,11.19,56.74,1,11.15,56.42,2,10.65,56.46
3,10.10,1:06.61,4,10.07,1:06.68,6,10.03,1:06.81,5,9.99,1:06.73,2,10.13,1:06.55,1,10.02,1:06.48
3,10.39,1:17.00,5,10.40,1:17.08,6,10.29,1:17.10,4,10.28,1:17.01,2,10.35,1:16.90,1,10.34,1:16.82
3,10.20,1:27.20,4,10.22,1:27.30,6,10.38,1:27.48,5,10.37,1:27.38,2,10.21,1:27.11,1,10.20,1:27.02
3,10.27,1:37.47,4,10.26,1:37.56,6,10.31,1:37.79,5,10.33,1:37.71,2,10.29,1:37.40,1,10.28,1:37.30
3,10.35,1:47.82,4,10.36,1:47.92,6,10.32,1:48.11,5,10.40,1:48.11,2,10.33,1:47.73,1,10.34,1:47.64
3,10.33,1:58.15,5,10.37,1:58.29,4,10.10,1:58.21,6,10.33,1:58.44,2,10.32,1:58.05,1,10.34,1:57.98
3,10.09,2:08.24,5,10.23,2:08.52,4,10.12,2:08.33,6,10.55,2:08.99,1,9.79,2:07.84,2,10.14,2:08.12
3,10.02,2:18.26,5,10.32,2:18.84,4,10.12,2:18.45,6,11.23,2:20.22,1,9.78,2:17.62,2,10.06,2:18.18
3,10.34,2:28.591,5,10.63,2:29.468,4,10.29,2:28.732,6,12.23,2:32.443,1,10.02,2:27.634,2,10.26,2:28.435
