Tania VICENT POSITION,Tania VICENT LAP TIME,Tania VICENT ELAPSED TIME,Erika HUSZAR POSITION,Erika HUSZAR LAP TIME,Erika HUSZAR ELAPSED TIME,Allison BAVER POSITION,Allison BAVER LAP TIME,Allison BAVER ELAPSED TIME,Annita van DOORN POSITION,Annita van DOORN LAP TIME,Annita van DOORN ELAPSED TIME,Stephanie BOUVIER POSITION,Stephanie BOUVIER LAP TIME,Stephanie BOUVIER ELAPSED TIME,Evita KRIEVANE POSITION,Evita KRIEVANE LAP TIME,Evita KRIEVANE ELAPSED TIME
6,9.516,9.516,1,8.889,8.889,4,9.170,9.170,3,9.080,9.080,2,8.891,8.891,5,9.321,9.321
6,12.850,22.366,2,12.916,21.805,4,12.945,22.114,3,12.960,22.040,1,12.873,21.764,5,12.954,22.275
6,12.349,34.715,4,12.524,34.328,3,12.208,34.321,1,12.204,34.243,2,12.493,34.256,5,12.337,34.611
6,11.424,46.139,4,11.498,45.826,1,11.369,45.689,2,11.453,45.695,3,11.462,45.718,5,11.491,46.102
6,10.864,57.002,1,10.762,56.588,4,11.129,56.818,3,11.066,56.761,2,10.885,56.603,5,10.805,56.906
4,10.475,1:07.476,1,10.495,1:07.082,2,10.334,1:07.152,5,10.722,1:07.482,3,10.606,1:07.208,6,10.704,1:07.610
5,10.177,1:17.653,3,10.367,1:17.449,1,10.094,1:17.246,4,10.040,1:17.521,2,10.134,1:17.341,6,10.210,1:17.820
5,10.253,1:27.905,3,10.293,1:27.741,1,10.317,1:27.562,4,10.353,1:27.874,2,10.356,1:27.697,6,10.274,1:28.093
2,9.990,1:37.895,5,10.284,1:38.025,1,10.218,1:37.779,4,10.066,1:37.940,3,10.207,1:37.903,6,10.075,1:38.167
3,10.054,1:47.948,4,10.003,1:48.027,1,9.952,1:47.731,5,10.159,1:48.099,2,10.008,1:47.911,6,10.434,1:48.600
3,9.814,1:57.762,5,10.144,1:58.171,1,9.905,1:57.636,4,9.918,1:58.016,2,9.771,1:57.682,6,10.563,1:59.163
2,9.867,2:07.629,5,10.016,2:08.187,1,9.840,2:07.476,4,10.040,2:08.056,3,9.960,2:07.641,6,11.095,2:10.258
3,10.115,2:17.743,5,9.993,2:18.179,1,9.875,2:17.350,4,10.041,2:18.097,2,9.894,2:17.535,6,11.508,2:21.765
3,10.11,2:27.845,5,10.63,2:28.808,1,10.24,2:27.587,4,10.61,2:28.706,2,10.18,2:27.709,6,11.83,2:33.587
