Kasandra BRADETTE POSITION,Kasandra BRADETTE LAP TIME,Kasandra BRADETTE ELAPSED TIME,Jorien ter MORS POSITION,Jorien ter MORS LAP TIME,Jorien ter MORS ELAPSED TIME,VALCEPINA Arianna POSITION,VALCEPINA Arianna LAP TIME,VALCEPINA Arianna ELAPSED TIME,Jessica KOOREMAN POSITION,Jessica KOOREMAN LAP TIME,Jessica KOOREMAN ELAPSED TIME
3,13.63,13.63,2,13.56,13.56,4,13.71,13.71,1,13.46,13.46
3,11.04,24.67,2,11.01,24.57,4,11.05,24.76,1,11.00,24.46
3,11.38,36.05,2,11.37,35.94,4,11.41,36.17,1,11.37,35.83
3,11.37,47.42,2,11.40,47.34,4,11.40,47.57,1,11.41,47.24
2,10.14,57.56,1,10.03,57.37,4,10.18,57.75,2,10.32,57.56
2,9.16,1:06.72,1,9.27,1:06.64,4,9.35,1:07.10,3,9.39,1:06.95
2,9.27,1:15.99,1,9.28,1:15.92,4,9.31,1:16.41,3,9.31,1:16.26
2,9.45,1:25.44,1,9.45,1:25.37,4,9.40,1:25.81,3,9.38,1:25.64
2,9.78,1:35.22,1,9.76,1:35.13,4,9.67,1:35.48,3,9.63,1:35.27
