KIKUCHI Moemi POSITION,KIKUCHI Moemi LAP TIME,KIKUCHI Moemi ELAPSED TIME,STODDARD Corinne POSITION,STODDARD Corinne LAP TIME,STODDARD Corinne ELAPSED TIME,SIGHEL Arianna POSITION,SIGHEL Arianna LAP TIME,SIGHEL Arianna ELAPSED TIME,MANOILOVA Katrin POSITION,MANOILOVA Katrin LAP TIME,MANOILOVA Katrin ELAPSED TIME,Miwako YAMAURA POSITION,Miwako YAMAURA LAP TIME,Miwako YAMAURA ELAPSED TIME,JACOBS Gina POSITION,JACOBS Gina LAP TIME,JACOBS Gina ELAPSED TIME
1,13.46,13.46,2,13.48,13.48,4,13.66,13.66,5,13.77,13.77,3,13.61,,6,13.89,13.89
2,10.39,23.85,1,10.29,23.77,4,10.42,24.08,5,10.41,24.18,3,10.37,,6,10.38,24.27
2,10.64,34.49,1,10.62,34.39,3,10.52,34.60,6,10.56,34.74,4,10.63,,5,10.41,34.68
2,10.09,44.58,1,10.09,44.48,4,10.19,44.79,5,10.33,45.07,6,10.64,,3,10.00,44.68
2,9.83,54.41,1,9.81,54.29,4,9.83,54.62,5,9.67,54.74,6,10.11,,3,9.83,54.51
3,9.74,1:04.15,1,9.68,1:03.97,2,9.40,1:04.02,5,9.62,1:04.36,6,10.35,,4,9.69,1:04.20
3,9.39,1:13.54,2,9.56,1:13.53,1,9.37,1:13.39,5,9.79,1:14.15,6,10.64,,4,9.81,1:14.01
2,9.52,1:23.06,3,9.63,1:23.16,1,9.60,1:22.99,5,10.34,1:24.49,6,10.86,,4,9.97,1:23.98
2,9.95,1:33.014,3,9.96,1:33.120,1,9.87,1:32.86,5,10.97,1:35.465,6,11.17,,4,10.23,1:34.219
