Laurie MARCEAU POSITION,Laurie MARCEAU LAP TIME,Laurie MARCEAU ELAPSED TIME,Olga BELYAKOVA POSITION,Olga BELYAKOVA LAP TIME,Olga BELYAKOVA ELAPSED TIME,ZHANG Hui POSITION,ZHANG Hui LAP TIME,ZHANG Hui ELAPSED TIME,Biba SAKURAI POSITION,Biba SAKURAI LAP TIME,Biba SAKURAI ELAPSED TIME
2,13.00,13.00,1,12.95,12.95,4,13.33,13.33,3,13.16,13.16
2,10.35,23.36,1,10.35,23.30,4,10.86,24.20,3,10.51,23.68
3,10.62,33.98,2,10.55,33.85,1,9.63,33.83,4,10.48,34.16
3,9.78,43.76,1,9.69,43.54,2,9.88,43.71,4,9.80,43.97
3,9.79,53.56,1,9.78,53.32,2,9.77,53.49,4,9.82,53.80
3,9.92,1:03.49,1,10.07,1:03.40,2,9.94,1:03.44,4,9.94,1:03.74
3,10.01,1:13.50,1,9.68,1:13.08,2,9.97,1:13.41,4,9.95,1:13.70
2,9.84,1:23.35,3,10.28,1:23.37,1,9.70,1:23.12,4,9.84,1:23.54
2,9.93,1:33.273,4,10.95,1:34.320,1,9.97,1:33.088,3,10.19,1:33.727
