HWANG Dae Heon POSITION,HWANG Dae Heon LAP TIME,HWANG Dae Heon ELAPSED TIME,Davut TAHTACI POSITION,Davut TAHTACI LAP TIME,Davut TAHTACI ELAPSED TIME,LEPAPE Sebastien POSITION,LEPAPE Sebastien LAP TIME,LEPAPE Sebastien ELAPSED TIME,Viktor KNOCH POSITION,Viktor KNOCH LAP TIME,Viktor KNOCH ELAPSED TIME,Emil IMRE POSITION,Emil IMRE LAP TIME,Emil IMRE ELAPSED TIME
1,6.91,6.91,4,7.41,7.41,2,7.05,7.05,3,7.11,,5,7.60,7.60
1,8.92,15.83,4,9.17,16.58,3,9.18,16.23,2,8.97,,5,9.43,17.03
1,8.47,24.30,4,8.91,25.49,3,8.37,24.60,2,8.37,,5,9.05,26.08
4,20.95,45.25,2,9.10,34.59,1,8.46,33.06,5,30.85,,3,9.26,35.34
4,18.27,1:03.52,2,9.45,44.04,1,8.68,41.74,5,23.19,,3,9.54,44.885
