BYKANOV Vladislav POSITION,BYKANOV Vladislav LAP TIME,BYKANOV Vladislav ELAPSED TIME,Thibaut FAUCONNET POSITION,Thibaut FAUCONNET LAP TIME,Thibaut FAUCONNET ELAPSED TIME,Jakov DOLINIC POSITION,Jakov DOLINIC LAP TIME,Jakov DOLINIC ELAPSED TIME,Niels KERSTHOLT POSITION,Niels KERSTHOLT LAP TIME,Niels KERSTHOLT ELAPSED TIME,Dariusz KULESZA POSITION,Dariusz KULESZA LAP TIME,Dariusz KULESZA ELAPSED TIME,Milos VIGAS POSITION,Milos VIGAS LAP TIME,Milos VIGAS ELAPSED TIME
3,8.08,8.08,2,7.95,7.95,5,8.22,8.22,1,7.85,7.85,4,8.20,8.20,6,8.42,8.42
1,11.36,19.45,2,11.65,19.61,4,11.51,19.73,3,11.81,19.66,6,11.65,19.85,5,11.33,19.76
1,10.33,29.78,3,10.35,29.96,5,10.34,30.08,4,10.31,29.98,2,10.05,29.91,6,10.38,30.14
1,10.41,40.20,2,10.38,40.34,5,10.36,40.44,4,10.42,40.41,6,10.62,40.54,3,10.20,40.34
2,10.32,50.53,5,10.30,50.65,4,10.19,50.63,1,9.84,50.25,6,10.14,50.68,3,10.21,50.56
2,10.29,1:00.83,6,10.55,1:01.20,5,10.46,1:01.09,3,10.64,1:00.89,1,9.97,1:00.65,4,10.46,1:01.03
1,9.95,1:10.78,6,10.41,1:11.62,4,10.05,1:11.15,5,10.71,1:11.61,2,10.42,1:11.08,3,10.10,1:11.13
2,10.33,1:21.11,6,10.09,1:21.71,5,10.42,1:21.57,4,9.86,1:21.47,1,10.03,1:21.11,3,10.10,1:21.23
1,9.79,1:30.90,5,9.83,1:31.55,4,9.80,1:31.37,6,10.36,1:31.84,2,9.98,1:31.10,3,9.91,1:31.15
1,9.80,1:40.71,6,9.75,1:41.30,5,9.80,1:41.17,3,9.00,1:40.84,2,9.72,1:40.83,4,9.88,1:41.04
1,9.68,1:50.39,6,9.44,1:50.74,3,9.39,1:50.56,4,9.79,1:50.63,2,9.72,1:50.55,5,9.65,1:50.70
4,9.82,2:00.21,2,9.23,1:59.98,1,6.26,1:56.83,3,9.48,2:00.12,5,9.99,2:00.54,6,9.85,2:00.55
3,10.22,2:10.44,2,9.67,2:09.66,5,0.00,2:10.83,1,8.89,2:09.02,6,10.29,2:10.84,4,10.21,2:10.76
4,11.24,2:21.673,2,10.10,2:19.755,6,18.89,2:29.718,1,10.46,2:19.477,5,11.98,2:22.811,3,10.43,2:21.183
