NIKISHA Denis POSITION,NIKISHA Denis LAP TIME,NIKISHA Denis ELAPSED TIME,Firat YARDIMCI POSITION,Firat YARDIMCI LAP TIME,Firat YARDIMCI ELAPSED TIME,Shaolin Sandor LIU POSITION,Shaolin Sandor LIU LAP TIME,Shaolin Sandor LIU ELAPSED TIME,Bartosz KONOPKO POSITION,Bartosz KONOPKO LAP TIME,Bartosz KONOPKO ELAPSED TIME,DESMET Stijn POSITION,DESMET Stijn LAP TIME,DESMET Stijn ELAPSED TIME
4,14.45,14.45,5,14.64,,3,14.35,14.35,1,14.02,14.02,2,14.14,14.14
4,10.17,24.62,5,10.04,,3,10.15,24.50,2,10.33,24.35,1,10.11,24.25
4,9.54,34.16,3,9.33,,1,9.26,33.76,5,10.00,34.35,2,9.56,33.81
4,9.41,43.57,3,9.41,,1,9.47,43.23,5,9.36,43.71,2,9.53,43.34
4,9.56,53.13,3,9.65,,1,9.64,52.87,5,9.55,53.26,2,9.62,52.96
4,9.42,1:02.55,5,9.61,,1,9.37,1:02.24,3,9.28,1:02.54,2,9.37,1:02.33
3,8.91,1:11.46,5,9.02,,1,8.99,1:11.23,4,9.09,1:11.63,2,9.04,1:11.37
2,9.08,1:20.54,5,9.17,,1,8.95,1:20.18,4,9.07,1:20.70,3,9.27,1:20.64
2,9.06,1:29.60,4,9.34,,1,9.23,1:29.41,4,10.10,1:30.806,3,9.45,1:30.097
