J P KEPKA POSITION,J P KEPKA LAP TIME,J P KEPKA ELAPSED TIME,Francois-Louis TREMBLAY POSITION,Francois-Louis TREMBLAY LAP TIME,Francois-Louis TREMBLAY ELAPSED TIME,SONG Kyung-Taek POSITION,SONG Kyung-Taek LAP TIME,SONG Kyung-Taek ELAPSED TIME,Sebastian PRAUS POSITION,Sebastian PRAUS LAP TIME,Sebastian PRAUS ELAPSED TIME
3,13.147,13.147,2,12.894,12.894,4,13.147,13.147,1,12.612,12.612
4,10.073,23.220,1,9.729,22.623,2,9.508,22.655,3,10.132,22.744
4,8.949,32.168,2,9.105,31.727,1,9.038,31.693,3,9.146,31.889
3,8.639,40.807,2,8.969,40.696,1,8.991,40.683,4,9.073,40.961
4,9.325,50.132,2,9.049,49.744,1,8.977,49.660,3,8.943,49.904
4,8.959,59.090,1,8.975,58.718,2,9.154,58.813,3,9.152,59.056
3,9.304,1:08.394,1,9.289,1:08.007,4,9.724,1:08.537,2,8.990,1:08.045
3,9.171,1:17.565,1,9.272,1:17.278,4,32.096,1:40.632,2,9.293,1:17.337
2,9.46,1:27.022,1,9.62,1:26.892,4,15.31,1:55.939,3,9.93,1:27.259
