Katerina NOVOTNA POSITION,Katerina NOVOTNA LAP TIME,Katerina NOVOTNA ELAPSED TIME,Jorien ter MORS POSITION,Jorien ter MORS LAP TIME,Jorien ter MORS ELAPSED TIME,Veronika WINDISCH POSITION,Veronika WINDISCH LAP TIME,Veronika WINDISCH ELAPSED TIME,Christin PRIEBST POSITION,Christin PRIEBST LAP TIME,Christin PRIEBST ELAPSED TIME,PIERRON Veronique POSITION,PIERRON Veronique LAP TIME,PIERRON Veronique ELAPSED TIME,Katia ZINI POSITION,Katia ZINI LAP TIME,Katia ZINI ELAPSED TIME
4,9.226,9.226,1,8.905,8.905,2,9.022,9.022,3,9.123,9.123,5,9.375,9.375,6,9.563,9.563
4,11.842,21.068,5,12.176,21.082,1,11.642,20.664,3,11.817,20.940,2,11.506,20.882,6,11.657,21.220
4,11.391,32.460,1,10.870,31.952,2,11.396,32.060,3,11.364,32.304,5,11.649,32.530,6,11.459,32.679
5,11.142,43.601,1,11.379,43.330,3,11.408,43.468,2,11.051,43.354,6,11.167,43.697,4,10.902,43.581
6,11.071,54.673,2,10.928,54.258,1,10.774,54.242,3,10.922,54.276,5,10.883,54.580,4,10.843,54.424
5,10.453,1:05.126,2,10.344,1:04.602,1,10.237,1:04.478,3,10.527,1:04.803,4,10.526,1:05.106,6,11.255,1:05.678
6,10.334,1:15.460,2,10.533,1:15.135,1,10.633,1:15.112,3,10.418,1:15.221,5,10.268,1:15.374,4,9.573,1:15.251
4,10.454,1:25.914,2,10.536,1:25.671,1,10.514,1:25.626,6,10.748,1:25.970,5,10.561,1:25.935,3,10.643,1:25.894
3,10.075,1:35.989,2,10.305,1:35.976,1,10.190,1:35.815,5,10.180,1:36.150,4,10.118,1:36.053,6,10.269,1:36.164
4,10.399,1:46.388,2,10.304,1:46.279,1,10.336,1:46.151,5,10.428,1:46.577,3,10.308,1:46.361,6,10.426,1:46.590
3,10.574,1:56.963,4,11.011,1:57.290,2,10.636,1:56.787,5,10.725,1:57.302,1,10.423,1:56.784,6,10.814,1:57.403
1,10.601,2:07.563,5,11.430,2:08.721,2,10.830,2:07.617,4,10.559,2:07.861,6,28.306,2:25.090,3,10.421,2:07.825
1,10.720,2:18.283,5,13.068,2:21.788,3,11.105,2:18.721,2,10.751,2:18.612,6,19.968,2:45.057,4,11.030,2:18.854
2,10.990,2:29.273,5,14.126,2:35.914,4,11.588,2:30.310,1,10.660,2:29.272,6,14.391,2:59.448,3,11.129,2:29.983
