SUNG Si-Bak POSITION,SUNG Si-Bak LAP TIME,SUNG Si-Bak ELAPSED TIME,Fumihiko KAKUBARI POSITION,Fumihiko KAKUBARI LAP TIME,Fumihiko KAKUBARI ELAPSED TIME,HAMELIN Charles POSITION,HAMELIN Charles LAP TIME,HAMELIN Charles ELAPSED TIME,KIM Hyun-Kon POSITION,KIM Hyun-Kon LAP TIME,KIM Hyun-Kon ELAPSED TIME
1,0.353,0.353,4,7.110,7.110,2,6.951,6.951,3,7.094,7.094
2,15.732,16.085,3,9.038,16.147,1,8.987,15.938,4,9.132,16.225
2,8.791,24.875,4,8.976,25.123,1,8.750,24.688,3,8.712,24.937
3,8.958,33.833,4,8.942,34.065,1,8.865,33.552,2,8.838,33.775
2,9.08,42.910,3,9.02,43.077,1,9.29,42.839,0,,DQ
