Susanne RUDOLPH POSITION,Susanne RUDOLPH LAP TIME,Susanne RUDOLPH ELAPSED TIME,Evgenia RADANOVA POSITION,Evgenia RADANOVA LAP TIME,Evgenia RADANOVA ELAPSED TIME,Alix-Myra ANDERSON POSITION,Alix-Myra ANDERSON LAP TIME,Alix-Myra ANDERSON ELAPSED TIME,Jorien ter MORS POSITION,Jorien ter MORS LAP TIME,Jorien ter MORS ELAPSED TIME
1,7.27,7.27,3,7.48,7.48,2,7.44,7.44,4,7.52,7.52
1,9.76,17.03,2,9.60,17.08,4,10.32,17.76,3,9.60,17.12
2,9.35,26.38,1,9.30,26.38,4,29.19,46.95,3,9.35,26.47
2,9.35,35.73,1,9.32,35.70,4,16.56,1:03.51,3,9.41,35.88
3,9.97,45.700,1,9.45,45.149,4,13.02,1:16.525,2,9.78,45.659
