Viktor KNOCH POSITION,Viktor KNOCH LAP TIME,Viktor KNOCH ELAPSED TIME,Mark McNEE POSITION,Mark McNEE LAP TIME,Mark McNEE ELAPSED TIME,Eric BEDARD POSITION,Eric BEDARD LAP TIME,Eric BEDARD ELAPSED TIME,Roberto SERRA POSITION,Roberto SERRA LAP TIME,Roberto SERRA ELAPSED TIME
2,12.908,12.908,4,13.134,13.134,1,12.908,12.908,3,12.909,12.909
4,10.213,23.121,2,9.890,23.024,1,10.103,23.011,3,10.142,23.051
3,9.705,32.825,4,9.979,33.002,2,9.723,32.734,1,9.660,32.710
3,10.000,42.825,4,10.029,43.030,2,9.988,42.721,1,9.966,42.675
3,10.092,52.917,4,10.103,53.132,1,10.052,52.773,2,10.107,52.782
3,10.051,1:02.968,4,10.007,1:03.139,2,10.066,1:02.838,1,10.042,1:02.823
3,9.838,1:12.805,4,9.970,1:13.109,2,9.837,1:12.674,1,9.844,1:12.667
3,9.582,1:22.386,4,10.100,1:23.209,2,9.430,1:22.104,1,9.413,1:22.079
3,9.80,1:32.181,4,10.52,1:33.720,1,9.47,1:31.567,2,9.57,1:31.649
