Katerina NOVOTNA POSITION,Katerina NOVOTNA LAP TIME,Katerina NOVOTNA ELAPSED TIME,Tatiana BORODULINA POSITION,Tatiana BORODULINA LAP TIME,Tatiana BORODULINA ELAPSED TIME,Kalyna ROBERGE POSITION,Kalyna ROBERGE LAP TIME,Kalyna ROBERGE ELAPSED TIME,Allison BAVER POSITION,Allison BAVER LAP TIME,Allison BAVER ELAPSED TIME,Biba SAKURAI POSITION,Biba SAKURAI LAP TIME,Biba SAKURAI ELAPSED TIME,CHRISTIE Elise POSITION,CHRISTIE Elise LAP TIME,CHRISTIE Elise ELAPSED TIME
4,9.78,9.78,6,10.01,10.01,5,9.92,9.92,2,9.56,9.56,3,9.64,9.64,1,9.46,9.46
4,14.50,24.28,6,14.53,24.54,5,14.48,24.40,2,14.43,23.99,3,14.47,24.11,1,14.34,23.80
4,14.15,38.43,6,14.12,38.66,5,14.12,38.52,2,14.18,38.17,3,14.17,38.28,1,14.18,37.98
4,13.05,51.48,6,13.15,51.81,5,13.09,51.61,2,13.03,51.20,1,12.82,51.10,3,13.37,51.35
4,13.09,1:04.57,6,13.01,1:04.82,5,13.08,1:04.69,1,13.06,1:04.26,2,13.24,1:04.34,3,13.02,1:04.37
4,11.95,1:16.52,6,11.90,1:16.72,5,11.90,1:16.59,2,12.01,1:16.27,3,12.06,1:16.40,1,11.80,1:16.17
1,11.45,1:27.97,6,11.71,1:28.43,5,11.76,1:28.35,3,11.89,1:28.16,4,11.84,1:28.24,2,11.89,1:28.06
2,10.84,1:38.81,1,10.35,1:38.78,6,10.87,1:39.22,3,10.71,1:38.87,5,10.74,1:38.98,4,10.87,1:38.93
2,10.25,1:49.06,1,10.24,1:49.02,6,10.28,1:49.50,3,10.29,1:49.16,4,10.30,1:49.28,5,10.50,1:49.43
4,10.61,1:59.67,2,10.52,1:59.54,6,10.40,1:59.90,1,10.17,1:59.33,3,10.31,1:59.59,5,10.34,1:59.77
4,9.80,2:09.47,2,9.75,2:09.29,6,9.74,2:09.64,1,9.85,2:09.18,3,9.77,2:09.36,5,9.83,2:09.60
5,9.69,2:19.16,2,9.71,2:19.00,4,9.45,2:19.09,1,9.74,2:18.92,3,9.71,2:19.07,6,9.80,2:19.40
3,9.66,2:28.82,2,9.75,2:28.75,6,31.70,2:50.79,1,9.73,2:28.65,4,9.81,2:28.88,5,10.06,2:29.46
3,9.82,2:38.637,2,9.74,2:38.486,0,,DQ,1,9.78,2:38.429,4,9.84,2:38.715,5,10.35,2:39.802
