Guillaume BASTILLE POSITION,Guillaume BASTILLE LAP TIME,Guillaume BASTILLE ELAPSED TIME,Blake SKJELLERUP POSITION,Blake SKJELLERUP LAP TIME,Blake SKJELLERUP ELAPSED TIME,Alexander GERTSIKOV POSITION,Alexander GERTSIKOV LAP TIME,Alexander GERTSIKOV ELAPSED TIME,CONFORTOLA Yuri POSITION,CONFORTOLA Yuri LAP TIME,CONFORTOLA Yuri ELAPSED TIME,Andriy KOZHUKH POSITION,Andriy KOZHUKH LAP TIME,Andriy KOZHUKH ELAPSED TIME
2,8.95,8.95,3,9.08,9.08,1,8.72,8.72,4,9.28,9.28,5,9.39,9.39
3,12.36,21.31,4,12.34,21.42,2,12.25,20.97,5,12.28,21.56,1,11.56,20.95
3,10.64,31.95,4,10.66,32.08,2,10.84,31.81,5,10.65,32.21,1,10.10,31.05
3,10.21,42.16,4,10.18,42.26,2,10.17,41.98,5,10.22,42.43,1,10.65,41.70
4,10.48,52.64,3,10.35,52.61,1,10.43,52.41,5,10.38,52.81,2,10.80,52.50
4,10.26,1:02.90,1,9.94,1:02.55,2,10.26,1:02.67,5,10.23,1:03.04,3,10.31,1:02.81
4,10.43,1:13.33,2,10.49,1:13.04,1,10.28,1:12.95,5,10.45,1:13.49,3,10.39,1:13.20
4,10.15,1:23.48,2,10.22,1:23.26,1,10.24,1:23.19,5,10.11,1:23.60,3,10.19,1:23.39
4,10.29,1:33.77,2,10.23,1:33.49,1,10.20,1:33.39,5,10.27,1:33.87,3,10.23,1:33.62
4,9.57,1:43.34,2,9.61,1:43.10,1,9.60,1:42.99,5,9.56,1:43.43,3,9.64,1:43.26
3,9.39,1:52.73,2,9.45,1:52.55,1,9.35,1:52.34,5,9.36,1:52.79,4,9.50,1:52.76
2,9.18,2:01.91,4,9.73,2:02.28,1,9.39,2:01.73,3,9.32,2:02.11,5,10.16,2:02.92
1,9.19,2:11.10,4,10.18,2:12.46,2,9.44,2:11.17,3,9.09,2:11.20,5,10.65,2:13.57
2,9.47,2:20.562,4,10.79,2:23.246,3,9.78,2:20.945,1,9.17,2:20.363,5,11.36,2:24.923
