CHENG Xiao Lei POSITION,CHENG Xiao Lei LAP TIME,CHENG Xiao Lei ELAPSED TIME,Marta CAPURSO POSITION,Marta CAPURSO LAP TIME,Marta CAPURSO ELAPSED TIME,Amelie GOULET-NADON POSITION,Amelie GOULET-NADON LAP TIME,Amelie GOULET-NADON ELAPSED TIME,BYUN Chun-Sa POSITION,BYUN Chun-Sa LAP TIME,BYUN Chun-Sa ELAPSED TIME
4,13.532,13.532,1,13.359,13.359,2,13.367,13.367,3,13.492,13.492
4,9.879,23.410,2,9.853,23.212,1,9.757,23.123,3,9.863,23.355
4,9.637,33.047,3,9.749,32.960,2,9.832,32.955,1,9.500,32.854
3,10.076,43.122,1,9.918,42.878,2,10.081,43.035,4,10.656,43.509
4,10.336,53.458,1,10.213,53.091,3,10.221,53.256,2,9.674,53.182
4,10.107,1:03.565,1,10.167,1:03.257,3,10.105,1:03.361,2,10.138,1:03.320
4,9.853,1:13.417,1,9.969,1:13.226,3,9.983,1:13.343,2,9.985,1:13.305
4,9.881,1:23.298,1,9.824,1:23.049,3,9.771,1:23.113,2,9.777,1:23.081
3,9.95,1:33.247,0,,DQ,2,10.00,1:33.108,1,9.87,1:32.949
