Zachary BIGGS POSITION,Zachary BIGGS LAP TIME,Zachary BIGGS ELAPSED TIME,Ruslan ZAKHAROV POSITION,Ruslan ZAKHAROV LAP TIME,Ruslan ZAKHAROV ELAPSED TIME,Thomas Insuk HONG POSITION,Thomas Insuk HONG LAP TIME,Thomas Insuk HONG ELAPSED TIME,Clement FLORAC POSITION,Clement FLORAC LAP TIME,Clement FLORAC ELAPSED TIME
3,13.86,13.86,1,13.62,13.62,4,14.00,14.00,2,13.72,13.72
4,10.44,24.30,1,10.44,24.06,3,10.26,24.26,2,10.45,24.17
4,9.22,33.52,2,9.20,33.26,1,8.84,33.10,3,9.21,33.38
4,9.02,42.54,2,9.11,42.37,1,9.19,42.29,3,9.05,42.43
4,9.36,51.90,2,9.37,51.74,1,9.29,51.58,3,9.42,51.85
4,9.23,1:01.13,2,9.19,1:00.93,1,9.24,1:00.82,3,9.17,1:01.02
4,9.16,1:10.29,2,9.18,1:10.11,1,9.17,1:09.99,3,9.18,1:10.20
4,9.21,1:19.50,2,9.19,1:19.30,1,9.18,1:19.17,3,9.19,1:19.39
3,,1:28.756,2,9.35,1:28.65,1,9.42,1:28.59,4,,1:28.772
