Shinichi TAGAMI POSITION,Shinichi TAGAMI LAP TIME,Shinichi TAGAMI ELAPSED TIME,Alexander GERTSIKOV POSITION,Alexander GERTSIKOV LAP TIME,Alexander GERTSIKOV ELAPSED TIME,Wim de DEYNE POSITION,Wim de DEYNE LAP TIME,Wim de DEYNE ELAPSED TIME,Yuzo TAKAMIDO POSITION,Yuzo TAKAMIDO LAP TIME,Yuzo TAKAMIDO ELAPSED TIME,Jeremy MASSON POSITION,Jeremy MASSON LAP TIME,Jeremy MASSON ELAPSED TIME,KNEGT Sjinkie POSITION,KNEGT Sjinkie LAP TIME,KNEGT Sjinkie ELAPSED TIME,Anthony DOUGLAS POSITION,Anthony DOUGLAS LAP TIME,Anthony DOUGLAS ELAPSED TIME
3,7.711,7.711,5,8.084,8.084,2,7.479,7.479,4,7.976,7.976,1,7.177,7.177,7,8.368,8.368,6,8.166,8.166
2,10.121,17.832,5,10.232,18.316,3,10.374,17.853,4,10.147,18.123,1,10.564,17.741,7,10.227,18.595,6,10.158,18.324
1,9.706,27.538,5,9.800,28.116,2,9.959,27.811,4,9.915,28.037,3,10.075,27.816,7,9.645,28.241,6,9.799,28.123
1,9.723,37.261,5,9.695,37.811,3,9.681,37.492,4,9.667,37.704,2,9.471,37.286,7,9.764,38.005,6,9.700,37.824
1,9.719,46.980,5,9.595,47.406,3,9.681,47.173,4,9.606,47.311,2,9.724,47.010,7,9.722,47.727,6,9.723,47.546
1,9.684,56.663,5,9.941,57.347,3,9.692,56.864,4,9.895,57.205,2,9.842,56.852,7,9.875,57.602,6,9.810,57.357
1,10.012,1:06.675,5,9.693,1:07.039,3,10.110,1:06.974,4,9.782,1:06.988,2,10.035,1:06.886,7,9.662,1:07.264,6,9.790,1:07.147
1,9.778,1:16.453,5,9.885,1:16.925,3,9.815,1:16.789,4,9.904,1:16.891,2,9.651,1:16.538,7,9.856,1:17.120,6,9.827,1:16.974
1,9.783,1:26.236,7,10.066,1:26.990,3,9.714,1:26.503,4,9.793,1:26.684,2,9.740,1:26.277,6,9.757,1:26.876,5,9.743,1:26.717
1,9.783,1:36.019,7,9.846,1:36.836,3,9.739,1:36.242,4,9.659,1:36.342,2,9.803,1:36.080,6,9.837,1:36.713,5,9.816,1:36.534
1,9.442,1:45.461,7,9.613,1:46.449,3,9.629,1:45.871,5,9.837,1:46.179,2,9.510,1:45.590,6,9.573,1:46.286,4,9.620,1:46.154
1,9.540,1:55.001,7,9.476,1:55.925,3,9.468,1:55.339,4,9.296,1:55.475,2,9.683,1:55.273,6,9.558,1:55.843,5,9.389,1:55.543
1,9.356,2:04.357,7,9.481,2:05.407,2,9.417,2:04.757,3,9.443,2:04.918,5,9.756,2:05.029,6,9.512,2:05.356,4,9.483,2:05.026
1,9.750,2:14.107,6,9.821,2:15.228,2,9.554,2:14.310,3,9.516,2:14.434,5,10.029,2:15.057,7,10.039,2:15.395,4,9.730,2:14.756
