LI Ye POSITION,LI Ye LAP TIME,LI Ye ELAPSED TIME,Paul WORTH POSITION,Paul WORTH LAP TIME,Paul WORTH ELAPSED TIME,BREEUWSMA Daan POSITION,BREEUWSMA Daan LAP TIME,BREEUWSMA Daan ELAPSED TIME,Mark JACKSON POSITION,Mark JACKSON LAP TIME,Mark JACKSON ELAPSED TIME
2,7.040,7.040,1,6.870,6.870,3,7.170,7.170,4,7.330,7.330
3,9.250,16.300,1,9.010,15.880,4,9.160,16.340,2,8.950,16.290
2,8.680,24.990,1,8.800,24.680,4,34.190,50.530,3,9.600,25.900
2,8.730,33.720,1,8.880,33.570,4,13.850,1:04.390,3,9.460,35.360
2,9.390,43.120,1,9.240,42.810,4,12.050,1:16.450,3,9.500,44.870
