GAO Ming POSITION,GAO Ming LAP TIME,GAO Ming ELAPSED TIME,LEE Jung Su POSITION,LEE Jung Su LAP TIME,LEE Jung Su ELAPSED TIME,Jeff SIMON POSITION,Jeff SIMON LAP TIME,Jeff SIMON ELAPSED TIME,Jorrit OOSTEN POSITION,Jorrit OOSTEN LAP TIME,Jorrit OOSTEN ELAPSED TIME,VOLIKOV Artem POSITION,VOLIKOV Artem LAP TIME,VOLIKOV Artem ELAPSED TIME,Maxime CHATAIGNIER POSITION,Maxime CHATAIGNIER LAP TIME,Maxime CHATAIGNIER ELAPSED TIME
0,10.085,10.085,0,10.789,10.789,0,10.581,10.581,0,9.880,9.880,0,10.550,10.550,0,10.754,10.754
0,14.161,24.246,0,14.001,24.791,0,14.118,24.698,0,14.152,24.032,0,14.688,25.238,0,13.998,24.751
0,13.418,37.664,0,13.229,38.020,0,12.977,37.675,0,13.583,37.615,0,12.279,37.516,0,13.517,38.268
0,12.319,49.983,0,12.560,50.579,0,12.775,50.451,0,12.439,50.055,0,12.445,49.961,0,11.573,49.841
0,10.637,1:00.620,0,9.800,1:00.380,0,10.533,1:00.984,0,10.394,1:00.449,0,10.625,1:00.586,0,10.803,1:00.644
0,9.534,1:10.154,0,9.194,1:09.573,0,9.624,1:10.607,0,9.453,1:09.902,0,9.698,1:10.284,0,9.433,1:10.077
0,9.044,1:19.198,0,9.466,1:19.039,0,15.710,1:26.317,0,9.281,1:19.183,0,9.520,1:19.804,0,9.039,1:19.117
0,9.593,1:28.791,0,9.446,1:28.485,0,22.555,1:48.872,0,9.849,1:29.032,0,,,0,9.292,1:28.409
0,9.333,1:38.124,0,9.411,1:37.896,0,12.632,2:01.504,0,9.454,1:38.485,0,,,0,9.919,1:38.328
0,9.433,1:47.557,0,9.453,1:47.348,0,11.862,2:13.366,0,9.688,1:48.174,0,,1:48.675,0,9.304,1:47.632
0,9.547,1:57.104,0,9.569,1:56.917,0,12.606,2:25.972,0,10.037,1:58.211,0,12.225,2:00.900,0,9.113,1:56.745
0,9.878,2:06.982,0,9.733,2:06.650,0,13.260,2:39.232,0,10.322,2:08.533,0,12.180,2:13.080,0,9.445,2:06.190
0,9.823,2:16.805,0,9.608,2:16.258,0,12.939,2:52.171,0,10.789,2:19.321,0,12.936,2:26.016,0,9.795,2:15.985
0,,,0,,,0,,,0,,,0,,,0,,
