Ruslan ZAKHAROV POSITION,Ruslan ZAKHAROV LAP TIME,Ruslan ZAKHAROV ELAPSED TIME,Paul WORTH POSITION,Paul WORTH LAP TIME,Paul WORTH ELAPSED TIME,Mathieu GIROUX POSITION,Mathieu GIROUX LAP TIME,Mathieu GIROUX ELAPSED TIME,LEE Ho-Suk POSITION,LEE Ho-Suk LAP TIME,LEE Ho-Suk ELAPSED TIME
2,12.445,12.445,1,11.698,11.698,3,12.722,12.722,4,12.972,12.972
2,10.453,22.898,1,11.057,22.755,4,10.684,23.406,3,10.389,23.361
2,9.795,32.692,1,9.790,32.544,3,9.747,33.152,4,9.958,33.318
1,9.562,42.254,3,10.002,42.546,2,9.239,42.390,4,9.235,42.553
1,9.819,52.073,4,9.942,52.488,2,9.958,52.348,3,9.875,52.427
3,10.031,1:02.103,4,9.742,1:02.229,1,9.268,1:01.615,2,9.366,1:01.793
4,9.856,1:11.959,3,9.699,1:11.928,1,9.003,1:10.618,2,9.373,1:11.165
4,10.661,1:22.619,3,9.462,1:21.390,1,10.061,1:20.679,2,9.708,1:20.873
4,11.12,1:33.738,3,12.06,1:33.449,1,10.58,1:31.257,2,10.59,1:31.462
