Selim TANRIKULU POSITION,Selim TANRIKULU LAP TIME,Selim TANRIKULU ELAPSED TIME,Tyson HEUNG POSITION,Tyson HEUNG LAP TIME,Tyson HEUNG ELAPSED TIME,Siarhei YAKUSHKOU POSITION,Siarhei YAKUSHKOU LAP TIME,Siarhei YAKUSHKOU ELAPSED TIME,Pieter GYSEL POSITION,Pieter GYSEL LAP TIME,Pieter GYSEL ELAPSED TIME
2,7.16,7.16,1,7.00,7.00,4,7.37,7.37,3,7.26,7.26
2,9.25,16.41,1,9.08,16.08,3,9.12,16.49,4,9.30,16.56
4,9.16,25.57,1,8.60,24.68,3,9.08,25.57,2,8.83,25.39
4,9.30,34.87,1,8.73,33.41,3,9.11,34.68,2,8.86,34.25
4,9.47,44.339,1,8.88,42.289,3,9.40,44.078,2,8.96,43.201
