Hiroki YOKOYAMA POSITION,Hiroki YOKOYAMA LAP TIME,Hiroki YOKOYAMA ELAPSED TIME,AN Kai POSITION,AN Kai LAP TIME,AN Kai ELAPSED TIME,LEPAPE Sebastien POSITION,LEPAPE Sebastien LAP TIME,LEPAPE Sebastien ELAPSED TIME,Chris CREVELING POSITION,Chris CREVELING LAP TIME,Chris CREVELING ELAPSED TIME
1,13.44,13.44,2,13.57,13.57,3,13.83,13.83,4,13.98,13.98
1,10.09,23.53,3,10.06,23.63,4,9.84,23.67,2,9.63,23.61
3,9.55,33.08,1,9.37,33.00,4,9.60,33.27,2,9.43,33.04
3,9.32,42.40,1,9.14,42.14,4,9.27,42.54,2,9.18,42.22
3,8.95,51.35,1,9.03,51.17,4,8.89,51.43,2,9.01,51.23
4,8.98,1:00.33,1,8.96,1:00.13,3,8.89,1:00.32,2,8.98,1:00.21
4,8.93,1:09.26,1,8.79,1:08.92,3,8.83,1:09.15,2,8.80,1:09.01
4,8.87,1:18.13,1,8.86,1:17.78,3,8.91,1:18.06,2,9.03,1:18.04
3,9.26,1:27.371,1,,1:26.963,2,,1:26.982,4,9.69,1:27.704
