WATANABE Keita POSITION,WATANABE Keita LAP TIME,WATANABE Keita ELAPSED TIME,Ievgen GUTENOV POSITION,Ievgen GUTENOV LAP TIME,Ievgen GUTENOV ELAPSED TIME,Thibaut FAUCONNET POSITION,Thibaut FAUCONNET LAP TIME,Thibaut FAUCONNET ELAPSED TIME,KWAK Yoon-Gy POSITION,KWAK Yoon-Gy LAP TIME,KWAK Yoon-Gy ELAPSED TIME,Paul STANLEY POSITION,Paul STANLEY LAP TIME,Paul STANLEY ELAPSED TIME
3,8.27,8.27,1,7.88,7.88,2,8.07,8.07,4,8.40,8.40,5,8.51,8.51
3,11.47,19.74,1,11.53,19.41,2,11.55,19.62,4,11.46,19.86,5,11.44,19.95
3,11.10,30.84,1,11.21,30.62,2,11.10,30.72,4,11.04,30.90,5,11.04,30.99
2,10.77,41.61,1,10.93,41.55,3,10.93,41.65,4,10.89,41.79,5,10.91,41.90
1,10.00,51.61,2,10.19,51.74,3,10.20,51.85,4,10.17,51.96,5,10.13,52.03
1,10.20,1:01.81,2,10.25,1:01.99,3,10.22,1:02.07,4,10.23,1:02.19,5,10.25,1:02.28
1,10.22,1:12.03,4,10.30,1:12.29,2,10.07,1:12.14,3,10.05,1:12.24,5,10.16,1:12.44
1,10.09,1:22.12,5,10.24,1:22.53,2,10.09,1:22.23,3,10.12,1:22.36,4,10.03,1:22.47
1,9.96,1:32.08,5,10.02,1:32.55,2,9.96,1:32.19,3,9.94,1:32.30,4,9.93,1:32.40
2,9.86,1:41.94,5,9.86,1:42.41,1,9.73,1:41.92,3,9.78,1:42.08,4,9.80,1:42.20
2,9.54,1:51.48,5,9.93,1:52.34,1,9.32,1:51.24,3,9.44,1:51.52,4,9.56,1:51.76
3,9.40,2:00.88,5,10.36,2:02.70,2,9.24,2:00.48,1,8.89,2:00.41,4,9.74,2:01.50
3,9.57,2:10.45,5,10.89,2:13.59,2,9.27,2:09.75,1,8.89,2:09.30,4,10.44,2:11.94
3,10.23,2:20.674,5,12.01,2:25.598,2,10.14,2:19.883,1,9.49,2:18.782,4,11.82,2:23.757
