Yoshiaki OGURO POSITION,Yoshiaki OGURO LAP TIME,Yoshiaki OGURO ELAPSED TIME,Bence BERES POSITION,Bence BERES LAP TIME,Bence BERES ELAPSED TIME,Rafal GRYCNER POSITION,Rafal GRYCNER LAP TIME,Rafal GRYCNER ELAPSED TIME,Massimo GURINI POSITION,Massimo GURINI LAP TIME,Massimo GURINI ELAPSED TIME,Inan EREN POSITION,Inan EREN LAP TIME,Inan EREN ELAPSED TIME
1,14.28,14.28,2,14.39,14.39,3,14.53,14.53,4,14.66,14.66,5,14.78,14.78
1,11.09,25.37,2,11.07,25.46,4,11.06,25.59,3,10.88,25.54,5,10.95,25.73
1,9.84,35.21,2,9.83,35.29,3,9.80,35.39,4,9.87,35.41,5,9.79,35.52
1,9.72,44.93,2,9.73,45.02,3,9.72,45.11,4,9.80,45.21,5,9.78,45.30
1,9.95,54.88,2,9.93,54.95,3,9.96,55.07,4,9.96,55.17,5,9.97,55.27
1,9.62,1:04.50,2,9.61,1:04.56,3,9.59,1:04.66,4,9.61,1:04.78,5,9.72,1:04.99
1,9.56,1:14.06,2,9.51,1:14.07,3,9.56,1:14.22,4,9.55,1:14.33,5,9.61,1:14.60
2,9.42,1:23.48,1,9.15,1:23.22,3,9.37,1:23.59,4,9.44,1:23.77,5,9.78,1:24.38
2,9.43,1:32.904,1,9.26,1:32.480,3,9.42,1:33.007,4,9.57,1:33.334,5,9.93,1:34.302
