THOMSON Kathryn POSITION,THOMSON Kathryn LAP TIME,THOMSON Kathryn ELAPSED TIME,Mariya IZAFATAVA POSITION,Mariya IZAFATAVA LAP TIME,Mariya IZAFATAVA ELAPSED TIME,BURIC Katarina POSITION,BURIC Katarina LAP TIME,BURIC Katarina ELAPSED TIME,VALCEPINA Martina POSITION,VALCEPINA Martina LAP TIME,VALCEPINA Martina ELAPSED TIME,HUOT MARCHAND Tifany POSITION,HUOT MARCHAND Tifany LAP TIME,HUOT MARCHAND Tifany ELAPSED TIME
1,7.36,7.36,3,7.54,7.54,5,8.01,8.01,2,7.46,7.46,4,7.79,7.79
1,9.59,16.95,3,9.64,17.18,5,9.88,17.89,2,9.57,17.03,4,9.49,17.28
2,9.11,26.06,3,9.14,26.32,5,9.44,27.33,1,8.93,25.96,4,9.08,26.36
2,9.20,35.26,4,9.56,35.88,5,9.77,37.10,1,9.20,35.16,3,9.14,35.50
2,9.40,44.66,4,9.71,45.59,5,10.04,47.14,1,9.42,44.58,3,9.21,44.71
