Jon ELEY POSITION,Jon ELEY LAP TIME,Jon ELEY ELAPSED TIME,Evgenii KOZULIN POSITION,Evgenii KOZULIN LAP TIME,Evgenii KOZULIN ELAPSED TIME,BLACKBURN Mackenzie POSITION,BLACKBURN Mackenzie LAP TIME,BLACKBURN Mackenzie ELAPSED TIME,Viktor DIMITROV POSITION,Viktor DIMITROV LAP TIME,Viktor DIMITROV ELAPSED TIME
1,13.93,13.93,3,14.11,14.11,2,14.06,14.06,4,14.27,14.27
1,10.96,24.89,2,10.99,25.11,3,11.15,25.21,4,10.97,25.24
2,10.57,35.46,3,10.45,35.56,4,10.59,35.80,1,10.15,35.39
1,10.47,45.94,2,10.43,46.00,3,10.19,46.00,4,10.62,46.02
3,9.69,55.64,1,9.37,55.37,4,9.83,55.83,2,9.55,55.58
2,9.08,1:04.72,1,9.17,1:04.54,3,9.04,1:04.87,4,10.12,1:05.71
2,9.35,1:14.07,1,9.21,1:13.75,3,9.48,1:14.36,4,8.74,1:14.45
2,9.17,1:23.25,1,9.40,1:23.16,3,9.45,1:23.82,4,9.65,1:24.10
2,9.41,1:32.656,1,9.25,1:32.401,0,,DQ,3,9.79,1:33.889
