Artem KHMELIVSKYI POSITION,Artem KHMELIVSKYI LAP TIME,Artem KHMELIVSKYI ELAPSED TIME,Tsvetan TSANKOV POSITION,Tsvetan TSANKOV LAP TIME,Tsvetan TSANKOV ELAPSED TIME,BLACKBURN Mackenzie POSITION,BLACKBURN Mackenzie LAP TIME,BLACKBURN Mackenzie ELAPSED TIME,JUNG Jun Ho POSITION,JUNG Jun Ho LAP TIME,JUNG Jun Ho ELAPSED TIME
4,7.46,7.46,3,7.40,7.40,1,7.07,7.07,2,7.24,7.24
3,10.17,17.63,4,25.24,32.64,1,9.45,16.52,2,9.47,16.71
3,9.61,27.24,4,14.88,47.52,1,8.97,25.49,2,8.78,25.49
3,9.60,36.84,4,11.28,58.80,2,9.12,34.61,1,8.94,34.43
3,9.79,46.628,4,11.07,1:09.867,2,9.21,43.815,1,9.12,43.541
