Thibaut FAUCONNET POSITION,Thibaut FAUCONNET LAP TIME,Thibaut FAUCONNET ELAPSED TIME,Jon ELEY POSITION,Jon ELEY LAP TIME,Jon ELEY ELAPSED TIME,Remi BEAULIEU POSITION,Remi BEAULIEU LAP TIME,Remi BEAULIEU ELAPSED TIME,MA Qiang POSITION,MA Qiang LAP TIME,MA Qiang ELAPSED TIME
1,6.97,6.97,2,7.09,7.09,3,7.26,7.26,4,7.36,7.36
1,8.85,15.82,2,8.82,15.91,3,8.87,16.13,4,8.88,16.24
1,8.89,24.71,2,8.87,24.78,3,8.83,24.96,4,8.87,25.11
2,8.20,32.91,1,8.04,32.82,3,8.11,33.07,4,8.08,33.19
2,8.62,41.524,1,8.62,41.438,3,8.57,41.634,4,8.62,41.806
