KIM Byeong Jun POSITION,KIM Byeong Jun LAP TIME,KIM Byeong Jun ELAPSED TIME,Maxime CHATAIGNIER POSITION,Maxime CHATAIGNIER LAP TIME,Maxime CHATAIGNIER ELAPSED TIME,SUNG Si-Bak POSITION,SUNG Si-Bak LAP TIME,SUNG Si-Bak ELAPSED TIME,LIU Xianwei POSITION,LIU Xianwei LAP TIME,LIU Xianwei ELAPSED TIME,Yuma SAKURAI POSITION,Yuma SAKURAI LAP TIME,Yuma SAKURAI ELAPSED TIME
1,12.27,12.27,3,12.50,12.50,4,12.60,12.60,2,12.39,12.39,5,12.71,12.71
1,9.35,21.62,3,9.30,21.80,4,9.29,21.89,2,9.31,21.70,5,9.30,22.01
1,9.11,30.73,4,9.07,30.87,3,8.90,30.79,2,9.08,30.78,5,8.99,31.00
5,33.82,1:04.55,2,9.18,40.05,1,9.04,39.83,4,15.70,46.48,3,15.07,46.07
5,18.86,1:23.41,2,9.17,49.22,1,9.28,49.11,3,10.04,56.52,4,10.93,57.00
5,13.20,1:36.61,2,9.38,58.60,1,9.41,58.52,3,10.57,1:07.09,4,10.21,1:07.21
5,11.61,1:48.22,2,9.93,1:08.53,1,9.93,1:08.45,4,10.72,1:17.81,3,10.53,1:17.74
5,10.21,1:58.43,2,10.49,1:19.02,1,10.42,1:18.87,3,9.99,1:27.80,4,10.09,1:27.83
4,10.31,2:08.733,2,10.64,1:29.657,1,10.69,1:29.554,0,,PEN,3,10.26,1:38.081
