Chris CREVELING POSITION,Chris CREVELING LAP TIME,Chris CREVELING ELAPSED TIME,LUI Pan To Barton POSITION,LUI Pan To Barton LAP TIME,LUI Pan To Barton ELAPSED TIME,Takayuki MURATAKE POSITION,Takayuki MURATAKE LAP TIME,Takayuki MURATAKE ELAPSED TIME,Jack WHELBOURNE POSITION,Jack WHELBOURNE LAP TIME,Jack WHELBOURNE ELAPSED TIME,Nurbergen ZHUMAGAZIYEV POSITION,Nurbergen ZHUMAGAZIYEV LAP TIME,Nurbergen ZHUMAGAZIYEV ELAPSED TIME,HAMELIN Charles POSITION,HAMELIN Charles LAP TIME,HAMELIN Charles ELAPSED TIME
6,8.88,8.88,4,8.74,8.74,2,8.41,8.41,3,8.60,8.60,5,8.75,8.75,1,8.30,8.30
6,11.62,20.50,5,11.59,20.33,2,11.59,20.00,3,11.49,20.09,4,11.46,20.21,1,11.55,19.85
6,10.45,30.95,5,10.48,30.81,2,10.44,30.44,3,10.47,30.56,4,10.48,30.69,1,10.47,30.32
2,9.62,40.57,5,10.02,40.83,3,10.18,40.62,4,10.18,40.74,6,10.25,40.94,1,10.19,40.51
1,9.95,50.52,6,10.03,50.86,3,10.05,50.67,4,10.05,50.79,5,9.91,50.85,2,10.06,50.57
2,9.99,1:00.51,6,10.05,1:00.91,4,10.05,1:00.72,3,9.83,1:00.62,5,9.96,1:00.81,1,9.87,1:00.44
3,9.85,1:10.36,5,9.92,1:10.83,4,9.99,1:10.71,2,9.71,1:10.33,6,19.61,1:20.42,1,9.84,1:10.28
3,9.49,1:19.85,5,9.34,1:20.17,4,9.30,1:20.01,1,9.39,1:19.72,6,14.33,1:34.75,2,9.51,1:19.79
3,9.34,1:29.19,5,9.36,1:29.53,4,9.29,1:29.30,2,9.37,1:29.09,6,11.11,1:45.86,1,9.20,1:28.99
2,9.11,1:38.30,5,9.11,1:38.64,4,9.19,1:38.49,3,9.33,1:38.42,6,11.50,1:57.36,1,9.25,1:38.24
2,9.23,1:47.53,5,9.26,1:47.90,4,9.28,1:47.77,3,9.23,1:47.65,6,10.94,2:08.30,1,9.24,1:47.48
2,9.21,1:56.74,5,9.35,1:57.25,4,9.23,1:57.00,3,9.19,1:56.84,6,11.43,2:19.73,1,9.07,1:56.55
2,9.05,2:05.79,5,9.52,2:06.77,4,9.41,2:06.41,3,8.97,2:05.81,6,11.59,2:31.32,1,8.94,2:05.49
2,9.63,2:15.417,4,9.79,2:16.560,3,9.90,2:16.306,0,,PEN,5,11.56,2:42.879,1,9.06,2:14.545
