HAN Jialiang POSITION,HAN Jialiang LAP TIME,HAN Jialiang ELAPSED TIME,Thibaut FAUCONNET POSITION,Thibaut FAUCONNET LAP TIME,Thibaut FAUCONNET ELAPSED TIME,Assen PANDOV POSITION,Assen PANDOV LAP TIME,Assen PANDOV ELAPSED TIME,Freek van der WART POSITION,Freek van der WART LAP TIME,Freek van der WART ELAPSED TIME
1,6.90,6.90,2,7.05,7.05,3,7.15,7.15,4,7.36,7.36
1,8.86,15.76,2,8.83,15.88,3,8.80,15.95,4,8.86,16.22
1,8.75,24.51,2,8.71,24.59,3,8.75,24.70,4,8.67,24.89
1,8.85,33.36,2,8.87,33.46,3,8.86,33.56,4,8.81,33.70
2,9.04,42.397,1,8.84,42.291,3,8.89,42.441,4,10.13,43.826
