Hitomi SAITO POSITION,Hitomi SAITO LAP TIME,Hitomi SAITO ELAPSED TIME,Patricia TOTH POSITION,Patricia TOTH LAP TIME,Patricia TOTH ELAPSED TIME,Nina EVTEEVA POSITION,Nina EVTEEVA LAP TIME,Nina EVTEEVA ELAPSED TIME
2,7.84,7.84,1,7.57,7.57,3,7.97,7.97
2,9.90,17.74,1,9.89,17.46,3,9.89,17.86
2,9.54,27.28,1,9.58,27.04,3,9.45,27.31
2,9.66,36.94,1,9.79,36.83,3,9.66,36.97
3,9.94,46.880,2,10.03,46.851,1,9.81,46.778
