LEE Ho-Suk POSITION,LEE Ho-Suk LAP TIME,LEE Ho-Suk ELAPSED TIME,Jeremy BECK POSITION,Jeremy BECK LAP TIME,Jeremy BECK ELAPSED TIME,Azamat NURMAGAMBETOV POSITION,Azamat NURMAGAMBETOV LAP TIME,Azamat NURMAGAMBETOV ELAPSED TIME,Niels KERSTHOLT POSITION,Niels KERSTHOLT LAP TIME,Niels KERSTHOLT ELAPSED TIME,Adam FILIPOWICZ POSITION,Adam FILIPOWICZ LAP TIME,Adam FILIPOWICZ ELAPSED TIME
5,14.04,14.04,4,13.87,13.87,3,13.73,13.73,2,13.57,13.57,1,13.39,13.39
3,11.23,25.27,5,11.46,25.33,2,11.50,25.23,4,11.74,25.31,1,11.70,25.10
1,10.31,35.58,3,10.42,35.76,5,10.79,36.02,2,10.39,35.71,4,10.72,35.82
2,9.84,45.43,1,9.08,44.84,5,9.94,45.97,4,10.21,45.92,3,9.69,45.52
2,9.15,54.59,1,9.36,54.21,5,9.37,55.34,4,9.22,55.15,3,9.19,54.71
2,9.32,1:03.92,1,9.60,1:03.81,5,9.19,1:04.54,4,9.21,1:04.36,3,9.51,1:04.23
2,9.50,1:13.42,1,9.59,1:13.41,5,9.52,1:14.06,3,9.48,1:13.85,4,9.61,1:13.85
2,8.97,1:22.40,3,9.62,1:23.04,5,9.57,1:23.64,1,7.77,1:21.62,4,9.51,1:23.37
1,9.83,1:32.222,2,9.89,1:32.921,5,9.90,1:33.537,4,11.67,1:33.284,3,9.81,1:33.173
