Ian UPCOTT POSITION,Ian UPCOTT LAP TIME,Ian UPCOTT ELAPSED TIME,Petr HARGAS POSITION,Petr HARGAS LAP TIME,Petr HARGAS ELAPSED TIME,Vitali BARADAUKA POSITION,Vitali BARADAUKA LAP TIME,Vitali BARADAUKA ELAPSED TIME,SUN Tian POSITION,SUN Tian LAP TIME,SUN Tian ELAPSED TIME
1,7.549,7.549,2,7.598,7.598,4,7.783,7.783,3,7.647,7.647
3,9.529,17.077,2,9.471,17.069,4,9.642,17.425,1,9.241,16.888
3,9.277,26.354,1,9.188,26.256,4,9.650,27.075,2,9.374,26.262
4,26.534,52.888,3,19.281,45.537,2,10.147,37.221,1,9.644,35.905
4,14.48,1:07.362,3,12.32,57.857,2,11.73,48.942,1,11.19,47.089
