BREEUWSMA Daan POSITION,BREEUWSMA Daan LAP TIME,BREEUWSMA Daan ELAPSED TIME,Liam McFARLANE POSITION,Liam McFARLANE LAP TIME,Liam McFARLANE ELAPSED TIME,Ronald CALDECUTT POSITION,Ronald CALDECUTT LAP TIME,Ronald CALDECUTT ELAPSED TIME,Aydar BEKZHANOV POSITION,Aydar BEKZHANOV LAP TIME,Aydar BEKZHANOV ELAPSED TIME
2,7.19,7.19,1,6.96,6.96,4,7.42,7.42,3,7.39,7.39
2,8.95,16.14,1,8.86,15.82,4,9.29,16.71,3,8.94,16.33
2,8.85,24.99,1,8.75,24.57,4,9.25,25.96,3,8.72,25.05
3,9.06,34.05,1,8.85,33.42,4,9.34,35.30,2,8.87,33.92
3,9.11,43.158,1,9.01,42.424,4,9.48,44.776,2,9.09,43.005
