SIN da Woon POSITION,SIN da Woon LAP TIME,SIN da Woon ELAPSED TIME,PETRE Ward POSITION,PETRE Ward LAP TIME,PETRE Ward ELAPSED TIME,Nicola RODIGARI POSITION,Nicola RODIGARI LAP TIME,Nicola RODIGARI ELAPSED TIME,BYKANOV Vladislav POSITION,BYKANOV Vladislav LAP TIME,BYKANOV Vladislav ELAPSED TIME,Koen SLOOTWEG POSITION,Koen SLOOTWEG LAP TIME,Koen SLOOTWEG ELAPSED TIME,Klaudio NASRI POSITION,Klaudio NASRI LAP TIME,Klaudio NASRI ELAPSED TIME
1,9.48,9.48,2,9.59,9.59,3,9.61,9.61,6,9.99,9.99,5,9.79,9.79,4,9.72,9.72
1,13.08,22.56,5,13.18,22.77,6,13.21,22.82,3,12.67,22.66,2,12.82,22.61,4,13.01,22.73
2,10.62,33.18,5,10.75,33.52,6,10.82,33.64,4,10.74,33.40,1,10.42,33.03,3,10.54,33.27
1,10.30,43.48,5,10.43,43.95,6,10.42,44.06,4,10.45,43.85,1,10.45,43.48,3,10.39,43.66
1,10.19,53.67,5,10.03,53.98,6,10.01,54.07,3,10.00,53.85,2,10.28,53.76,4,10.22,53.88
2,9.95,1:03.62,5,10.00,1:03.98,6,10.03,1:04.10,1,9.66,1:03.51,3,9.96,1:03.72,4,9.94,1:03.82
2,9.81,1:13.43,5,9.75,1:13.73,6,9.70,1:13.80,1,9.82,1:13.33,3,9.83,1:13.55,4,9.82,1:13.64
2,9.76,1:23.19,6,9.84,1:23.57,4,9.52,1:23.32,1,9.73,1:23.06,3,9.73,1:23.28,5,9.76,1:23.40
1,9.13,1:32.32,6,9.36,1:32.93,3,9.26,1:32.58,2,9.41,1:32.47,4,9.38,1:32.66,5,9.38,1:32.78
1,8.96,1:41.28,6,9.30,1:42.23,3,9.13,1:41.71,2,8.92,1:41.39,4,9.19,1:41.85,5,9.29,1:42.07
1,8.92,1:50.20,6,9.20,1:51.43,3,9.05,1:50.76,2,8.82,1:50.21,4,8.98,1:50.83,5,9.24,1:51.31
2,8.88,1:59.08,6,9.55,2:00.98,4,9.28,2:00.04,1,8.79,1:59.00,3,8.97,1:59.80,5,9.55,2:00.86
1,8.72,2:07.80,5,9.92,2:10.90,4,9.50,2:09.54,2,8.90,2:07.90,3,9.16,2:08.96,6,10.24,2:11.10
1,8.92,2:16.72,5,10.04,2:20.94,4,10.44,2:19.98,2,9.03,2:16.93,3,9.41,2:18.37,6,10.95,2:22.05
