Thibaut FAUCONNET POSITION,Thibaut FAUCONNET LAP TIME,Thibaut FAUCONNET ELAPSED TIME,Wim de DEYNE POSITION,Wim de DEYNE LAP TIME,Wim de DEYNE ELAPSED TIME,KNEGT Sjinkie POSITION,KNEGT Sjinkie LAP TIME,KNEGT Sjinkie ELAPSED TIME,Yuzo TAKAMIDO POSITION,Yuzo TAKAMIDO LAP TIME,Yuzo TAKAMIDO ELAPSED TIME
2,6.780,6.780,1,6.698,6.698,3,7.187,7.187,4,7.222,7.222
2,8.918,15.698,1,8.772,15.470,3,9.008,16.195,4,9.320,16.542
1,8.489,24.187,2,8.759,24.229,3,9.255,25.450,4,9.056,25.598
1,8.819,33.006,2,8.811,33.040,3,8.971,34.421,4,8.974,34.571
1,9.140,42.146,2,9.114,42.154,4,9.416,43.836,3,9.204,43.775
