NOH Jinkyu POSITION,NOH Jinkyu LAP TIME,NOH Jinkyu ELAPSED TIME,Daisuke UEMURA POSITION,Daisuke UEMURA LAP TIME,Daisuke UEMURA ELAPSED TIME,J.R. CELSKI POSITION,J.R. CELSKI LAP TIME,J.R. CELSKI ELAPSED TIME,Maxime CHATAIGNIER POSITION,Maxime CHATAIGNIER LAP TIME,Maxime CHATAIGNIER ELAPSED TIME,SIN da Woon POSITION,SIN da Woon LAP TIME,SIN da Woon ELAPSED TIME
3,12.73,12.73,1,12.50,12.50,2,12.59,12.59,5,12.96,12.96,4,12.86,12.86
3,9.55,22.28,1,9.67,22.17,2,9.68,22.27,5,9.64,22.60,4,9.59,22.45
1,8.98,31.26,2,9.12,31.29,3,9.12,31.39,5,8.97,31.57,4,9.01,31.46
1,9.09,40.35,4,9.28,40.57,3,9.01,40.40,5,9.07,40.64,2,8.92,40.38
2,9.10,49.45,4,9.13,49.70,3,9.15,49.55,5,9.22,49.86,1,9.02,49.40
1,9.01,58.46,4,9.03,58.73,2,9.00,58.55,5,8.97,58.83,3,9.20,58.60
1,8.96,1:07.42,5,9.24,1:07.97,2,8.95,1:07.50,4,9.11,1:07.94,3,9.01,1:07.61
1,9.26,1:16.68,5,9.67,1:17.64,2,9.45,1:16.95,4,9.32,1:17.26,3,9.45,1:17.06
1,9.52,1:26.194,4,9.87,1:27.509,2,9.33,1:26.273,3,9.43,1:26.689,0,,PEN
