Evita KRIEVANE POSITION,Evita KRIEVANE LAP TIME,Evita KRIEVANE ELAPSED TIME,ZHOU Yang POSITION,ZHOU Yang LAP TIME,ZHOU Yang ELAPSED TIME,Tatiana BORODULINA POSITION,Tatiana BORODULINA LAP TIME,Tatiana BORODULINA ELAPSED TIME,VALCEPINA Martina POSITION,VALCEPINA Martina LAP TIME,VALCEPINA Martina ELAPSED TIME,Marie-Eve DROLET POSITION,Marie-Eve DROLET LAP TIME,Marie-Eve DROLET ELAPSED TIME,Katalin KRISTO POSITION,Katalin KRISTO LAP TIME,Katalin KRISTO ELAPSED TIME
5,9.42,9.42,4,9.26,9.26,3,9.14,9.14,2,9.05,9.05,1,8.94,8.94,6,9.56,9.56
5,13.30,22.72,4,13.32,22.58,3,13.35,22.49,2,13.30,22.35,1,13.33,22.27,6,13.19,22.75
5,13.54,36.26,4,13.56,36.14,1,13.35,35.84,2,13.58,35.93,3,13.72,35.99,6,13.63,36.38
5,14.17,50.43,4,14.16,50.30,1,14.03,49.87,2,14.07,50.00,3,14.14,50.13,6,14.15,50.53
5,14.28,1:04.71,4,14.28,1:04.58,1,14.25,1:04.12,2,14.26,1:04.26,3,14.27,1:04.40,6,14.26,1:04.79
5,12.35,1:17.06,4,12.39,1:16.97,1,12.52,1:16.64,3,12.57,1:16.83,2,12.34,1:16.74,6,12.36,1:17.15
5,11.76,1:28.82,1,11.58,1:28.55,2,11.93,1:28.57,4,11.94,1:28.77,3,11.92,1:28.66,6,11.81,1:28.96
4,10.51,1:39.33,1,10.65,1:39.20,2,10.73,1:39.30,5,10.66,1:39.43,3,10.65,1:39.31,6,10.56,1:39.52
3,10.24,1:49.57,1,10.21,1:49.41,4,10.29,1:49.59,5,10.33,1:49.76,2,10.23,1:49.54,6,10.35,1:49.87
3,10.21,1:59.78,1,10.15,1:59.56,4,10.33,1:59.92,5,10.29,2:00.05,2,10.11,1:59.65,6,10.26,2:00.13
4,10.25,2:10.03,1,10.12,2:09.68,5,10.12,2:10.04,3,9.86,2:09.91,2,10.15,2:09.80,6,10.22,2:10.35
6,10.71,2:20.74,1,9.75,2:19.43,4,9.78,2:19.82,2,9.60,2:19.51,3,9.81,2:19.61,5,10.34,2:20.69
6,11.43,2:32.17,1,9.61,2:29.04,4,9.65,2:29.47,2,9.80,2:29.31,3,9.77,2:29.38,5,10.61,2:31.30
6,12.49,2:44.655,1,9.97,2:39.005,4,10.15,2:39.613,2,9.96,2:39.271,3,10.12,2:39.492,5,11.12,2:42.415
