Gregory DURAND POSITION,Gregory DURAND LAP TIME,Gregory DURAND ELAPSED TIME,Charles Ryan LEVEILLE POSITION,Charles Ryan LEVEILLE LAP TIME,Charles Ryan LEVEILLE ELAPSED TIME,Anton SIMON POSITION,Anton SIMON LAP TIME,Anton SIMON ELAPSED TIME,Azamat NURMAGAMBETOV POSITION,Azamat NURMAGAMBETOV LAP TIME,Azamat NURMAGAMBETOV ELAPSED TIME,Fabio CARTA POSITION,Fabio CARTA LAP TIME,Fabio CARTA ELAPSED TIME
2,10.050,10.050,4,10.300,10.300,5,10.390,10.390,3,10.210,10.210,1,9.860,9.860
2,15.090,25.140,4,14.900,25.200,1,14.730,25.130,5,15.100,25.310,3,15.320,25.180
2,13.740,38.890,4,13.940,39.140,3,13.950,39.080,5,15.530,40.850,1,13.620,38.810
3,13.420,52.310,4,13.270,52.420,2,13.150,52.240,5,11.780,52.640,1,13.260,52.080
2,12.150,1:04.460,3,12.100,1:04.530,4,12.290,1:04.530,5,12.130,1:04.770,1,12.360,1:04.440
4,11.110,1:15.580,1,10.770,1:15.300,5,11.090,1:15.630,3,10.750,1:15.520,2,11.060,1:15.510
1,10.360,1:25.940,2,10.730,1:26.040,4,10.460,1:26.090,5,11.090,1:26.620,3,10.550,1:26.060
2,10.450,1:36.400,4,10.520,1:36.570,3,10.340,1:36.430,5,10.120,1:36.740,1,10.310,1:36.380
1,9.780,1:46.190,3,9.670,1:46.240,2,9.760,1:46.190,5,10.110,1:46.860,4,9.900,1:46.290
1,9.130,1:55.320,2,9.180,1:55.420,4,9.330,1:55.530,5,9.170,1:56.030,3,9.170,1:55.460
4,9.400,2:04.720,2,8.890,2:04.320,3,9.140,2:04.680,5,9.370,2:05.410,1,8.750,2:04.210
2,8.690,2:13.420,1,9.090,2:13.420,5,10.120,2:14.800,4,8.880,2:14.300,3,9.530,2:13.750
3,10.160,2:23.580,1,9.170,2:22.590,5,10.110,2:24.910,4,10.500,2:24.800,2,9.310,2:23.060
3,9.970,2:33.560,1,9.960,2:32.550,5,29.170,2:54.090,4,10.500,2:35.310,2,9.920,2:32.980
