Rosalie HUISMAN POSITION,Rosalie HUISMAN LAP TIME,Rosalie HUISMAN ELAPSED TIME,Inna SIMONOVA POSITION,Inna SIMONOVA LAP TIME,Inna SIMONOVA ELAPSED TIME,Nilasha H ANAND POSITION,Nilasha H ANAND LAP TIME,Nilasha H ANAND ELAPSED TIME,LI Dan POSITION,LI Dan LAP TIME,LI Dan ELAPSED TIME,Nathalie PRESCHER POSITION,Nathalie PRESCHER LAP TIME,Nathalie PRESCHER ELAPSED TIME
2,14.67,14.67,1,14.53,14.53,5,15.51,15.51,4,14.96,14.96,3,14.78,14.78
3,12.57,27.24,1,12.49,27.02,5,12.99,28.50,4,12.51,27.47,2,12.39,27.17
3,11.41,38.65,1,11.41,38.43,5,13.01,41.51,4,11.28,38.75,2,11.37,38.54
3,11.19,49.84,1,11.22,49.65,5,13.35,54.86,4,11.23,49.98,2,11.24,49.78
4,11.20,1:01.04,1,11.15,1:00.80,5,14.17,1:09.03,3,11.03,1:01.01,2,11.22,1:01.00
4,10.79,1:11.83,2,10.42,1:11.22,5,15.83,1:24.86,1,10.12,1:11.13,3,10.72,1:11.72
3,10.73,1:22.56,2,10.34,1:21.56,5,14.82,1:39.68,1,10.25,1:21.38,4,11.01,1:22.73
3,11.26,1:33.82,2,10.57,1:32.13,5,15.05,1:54.73,1,10.54,1:31.92,4,11.52,1:34.25
3,11.90,1:45.714,2,10.88,1:43.001,5,15.14,2:09.863,1,10.63,1:42.549,4,12.20,1:46.446
