Sanne van KERKHOF POSITION,Sanne van KERKHOF LAP TIME,Sanne van KERKHOF ELAPSED TIME,ZAKHAROVA Evgeniya POSITION,ZAKHAROVA Evgeniya LAP TIME,ZAKHAROVA Evgeniya ELAPSED TIME,Elisa LENKE POSITION,Elisa LENKE LAP TIME,Elisa LENKE ELAPSED TIME,Tamara FREDERICK POSITION,Tamara FREDERICK LAP TIME,Tamara FREDERICK ELAPSED TIME
1,7.47,7.47,2,7.61,7.61,3,7.73,7.73,4,8.02,8.02
1,9.89,17.36,2,9.85,17.46,3,9.85,17.58,4,9.62,17.64
1,9.50,26.86,2,9.47,26.93,3,9.48,27.06,4,9.48,27.12
1,9.60,36.46,2,9.60,36.53,4,9.64,36.70,3,9.50,36.62
2,9.83,46.288,3,9.79,46.318,4,9.79,46.483,1,9.67,46.281
