SANTOS Kristen POSITION,SANTOS Kristen LAP TIME,SANTOS Kristen ELAPSED TIME,Tatiana BORODULINA POSITION,Tatiana BORODULINA LAP TIME,Tatiana BORODULINA ELAPSED TIME,van RUIJVEN Lara POSITION,van RUIJVEN Lara LAP TIME,van RUIJVEN Lara ELAPSED TIME,Anja CHONG POSITION,Anja CHONG LAP TIME,Anja CHONG ELAPSED TIME,Patrycja MARKIEWICZ POSITION,Patrycja MARKIEWICZ LAP TIME,Patrycja MARKIEWICZ ELAPSED TIME
4,14.20,14.20,3,14.14,14.14,2,14.04,14.04,5,14.44,14.44,1,13.90,13.90
4,10.69,24.89,1,10.44,24.58,3,10.68,24.72,5,11.00,25.44,2,10.71,24.61
4,10.28,35.17,1,10.25,34.83,3,10.31,35.03,5,10.89,36.33,2,10.24,34.85
4,10.37,45.54,1,10.45,45.28,2,10.36,45.39,5,11.03,47.36,3,10.65,45.50
3,10.02,55.56,1,10.11,55.39,1,10.00,55.39,5,11.21,58.57,4,10.17,55.67
2,9.77,1:05.33,3,10.02,1:05.41,1,9.85,1:05.24,5,11.48,1:10.05,4,9.89,1:05.56
2,9.73,1:15.06,3,9.90,1:15.31,1,9.74,1:14.98,5,11.90,1:21.95,4,9.91,1:15.47
2,9.74,1:24.80,3,9.94,1:25.25,1,9.74,1:24.72,5,12.24,1:34.19,4,10.09,1:25.56
2,10.04,1:34.84,3,10.59,1:35.84,1,10.03,1:34.75,5,12.14,1:46.33,4,10.50,1:36.06
