Nicola RODIGARI POSITION,Nicola RODIGARI LAP TIME,Nicola RODIGARI ELAPSED TIME,Benjamin MACE POSITION,Benjamin MACE LAP TIME,Benjamin MACE ELAPSED TIME,Viktor KNOCH POSITION,Viktor KNOCH LAP TIME,Viktor KNOCH ELAPSED TIME,Ondrej SUCHY POSITION,Ondrej SUCHY LAP TIME,Ondrej SUCHY ELAPSED TIME
1,6.88,6.88,2,7.07,7.07,3,7.19,7.19,4,7.23,7.23
1,9.20,16.08,2,9.31,16.38,3,9.26,16.45,4,9.75,16.98
1,8.93,25.01,3,8.97,25.35,2,8.88,25.33,4,9.38,26.36
1,9.25,34.26,3,9.14,34.49,2,9.03,34.36,4,9.57,35.93
2,9.51,43.769,3,9.40,43.884,1,9.38,43.734,4,9.87,45.799
