Claudio RINALDI POSITION,Claudio RINALDI LAP TIME,Claudio RINALDI ELAPSED TIME,Benjamin MACE POSITION,Benjamin MACE LAP TIME,Benjamin MACE ELAPSED TIME,Ingmar van RIEL POSITION,Ingmar van RIEL LAP TIME,Ingmar van RIEL ELAPSED TIME,Paul STANLEY POSITION,Paul STANLEY LAP TIME,Paul STANLEY ELAPSED TIME
2,13.09,13.09,1,12.90,12.90,4,13.35,13.35,3,13.28,13.28
1,10.37,23.47,3,10.62,23.52,4,10.23,23.58,2,10.19,23.47
3,10.05,33.52,1,9.93,33.46,4,10.05,33.64,2,9.99,33.46
2,10.05,43.57,4,10.27,43.74,3,10.08,43.72,1,10.05,43.52
1,9.60,53.17,3,9.55,53.30,4,9.62,53.34,2,9.66,53.19
1,9.61,1:02.79,3,9.70,1:03.00,4,9.77,1:03.11,2,9.70,1:02.89
1,9.44,1:12.24,4,41.37,1:44.38,3,21.90,1:25.01,2,9.53,1:12.42
1,9.74,1:21.98,4,23.88,2:08.26,3,16.29,1:41.31,2,9.85,1:22.27
1,10.08,1:32.053,0,,DQ,3,15.04,1:56.341,2,11.04,1:33.301
