Ievgen GUTENOV POSITION,Ievgen GUTENOV LAP TIME,Ievgen GUTENOV ELAPSED TIME,Haralds SILOVS POSITION,Haralds SILOVS LAP TIME,Haralds SILOVS ELAPSED TIME,DOTTI Tommaso POSITION,DOTTI Tommaso LAP TIME,DOTTI Tommaso ELAPSED TIME,LEPAPE Sebastien POSITION,LEPAPE Sebastien LAP TIME,LEPAPE Sebastien ELAPSED TIME
1,13.03,13.03,4,13.25,13.25,3,13.16,13.16,2,13.14,13.14
3,10.07,23.10,4,10.04,23.29,1,9.73,22.89,2,9.80,22.94
3,9.96,33.06,4,9.95,33.24,1,9.86,32.75,2,10.00,32.94
2,9.55,42.61,4,9.70,42.94,1,9.85,42.60,3,9.76,42.70
1,9.25,51.86,4,9.29,52.23,3,9.46,52.06,2,9.25,51.95
1,9.15,1:01.01,4,9.15,1:01.38,3,9.19,1:01.25,2,9.17,1:01.12
2,9.38,1:10.39,3,9.15,1:10.53,4,10.34,1:11.59,1,9.05,1:10.17
3,9.63,1:20.02,2,9.09,1:19.62,4,11.63,1:23.22,1,9.08,1:19.25
3,9.98,1:29.996,2,9.04,1:28.653,4,13.48,1:36.692,1,9.17,1:28.416
