Maxime FORTIN POSITION,Maxime FORTIN LAP TIME,Maxime FORTIN ELAPSED TIME,Viktor KNOCH POSITION,Viktor KNOCH LAP TIME,Viktor KNOCH ELAPSED TIME,J.R. CELSKI POSITION,J.R. CELSKI LAP TIME,J.R. CELSKI ELAPSED TIME,Guillaume BLAIS DUFOUR POSITION,Guillaume BLAIS DUFOUR LAP TIME,Guillaume BLAIS DUFOUR ELAPSED TIME
1,6.58,6.58,4,6.85,6.85,2,6.72,6.72,3,6.77,6.77
1,8.88,15.47,4,8.94,15.80,3,8.98,15.70,2,8.91,15.69
1,8.53,24.00,3,8.31,24.12,2,8.38,24.08,4,8.51,24.20
1,8.53,32.53,3,8.49,32.62,2,8.48,32.57,4,10.65,34.86
4,27.01,59.533,2,8.97,41.583,1,8.90,41.462,3,14.08,48.933
