Bernadett HEIDUM POSITION,Bernadett HEIDUM LAP TIME,Bernadett HEIDUM ELAPSED TIME,Christin PRIEBST POSITION,Christin PRIEBST LAP TIME,Christin PRIEBST ELAPSED TIME,PIERRON Veronique POSITION,PIERRON Veronique LAP TIME,PIERRON Veronique ELAPSED TIME,ZHOU Yang POSITION,ZHOU Yang LAP TIME,ZHOU Yang ELAPSED TIME
1,7.46,7.46,3,7.82,7.82,2,7.75,7.75,4,7.93,7.93
1,9.83,17.30,2,9.62,17.44,4,9.88,17.64,3,9.68,17.61
2,9.82,27.13,0,,,3,28.79,46.43,1,9.11,26.73
2,9.00,36.13,3,0.00,36.14,4,14.67,1:01.11,1,9.34,36.08
3,57.29,1:33.418,0,,DQ,2,17.13,1:18.234,1,9.22,45.300
