Gisle TVERLAND POSITION,Gisle TVERLAND LAP TIME,Gisle TVERLAND ELAPSED TIME,Jean Charles MATTEI POSITION,Jean Charles MATTEI LAP TIME,Jean Charles MATTEI ELAPSED TIME,Tom IVESON POSITION,Tom IVESON LAP TIME,Tom IVESON ELAPSED TIME,Arian NACHBAR POSITION,Arian NACHBAR LAP TIME,Arian NACHBAR ELAPSED TIME
2,6.843,6.843,4,7.319,7.319,3,7.106,7.106,1,6.778,6.778
2,9.256,16.099,4,9.117,16.436,3,9.041,16.147,1,9.039,15.817
3,8.866,24.965,4,8.773,25.208,2,8.680,24.827,1,8.845,24.661
3,8.902,33.866,4,8.956,34.164,2,8.879,33.705,1,8.869,33.529
3,9.28,43.142,0,,DQ,2,9.29,42.994,1,9.39,42.911
