KONSTANTINOVA Ekaterina POSITION,KONSTANTINOVA Ekaterina LAP TIME,KONSTANTINOVA Ekaterina ELAPSED TIME,Bernadett HEIDUM POSITION,Bernadett HEIDUM LAP TIME,Bernadett HEIDUM ELAPSED TIME,Ranya EZZI POSITION,Ranya EZZI LAP TIME,Ranya EZZI ELAPSED TIME,TALAYEVA Volha POSITION,TALAYEVA Volha LAP TIME,TALAYEVA Volha ELAPSED TIME
2,15.08,15.08,3,15.23,15.23,4,15.33,15.33,1,14.97,14.97
2,11.62,26.70,3,11.58,26.81,4,11.61,26.94,1,11.60,26.57
2,11.21,37.91,3,11.20,38.01,4,11.16,38.10,1,11.23,37.80
3,10.85,48.76,1,10.57,48.58,4,10.78,48.88,2,10.79,48.59
3,10.11,58.87,1,10.08,58.66,4,10.16,59.04,2,10.18,58.77
2,9.71,1:08.58,1,9.90,1:08.56,4,9.91,1:08.95,3,9.90,1:08.67
1,9.52,1:18.10,2,9.70,1:18.26,4,9.80,1:18.75,3,9.86,1:18.53
1,9.65,1:27.75,2,9.66,1:27.92,4,9.88,1:28.63,3,10.02,1:28.55
1,9.76,1:37.507,2,9.89,1:37.808,4,10.26,1:38.888,3,10.34,1:38.885
