Satoru TERAO POSITION,Satoru TERAO LAP TIME,Satoru TERAO ELAPSED TIME,Pieter GYSEL POSITION,Pieter GYSEL LAP TIME,Pieter GYSEL ELAPSED TIME,Assen PANDOV POSITION,Assen PANDOV LAP TIME,Assen PANDOV ELAPSED TIME,Cees JUFFERMANS POSITION,Cees JUFFERMANS LAP TIME,Cees JUFFERMANS ELAPSED TIME,Lauge Hye LANGKJER POSITION,Lauge Hye LANGKJER LAP TIME,Lauge Hye LANGKJER ELAPSED TIME,LO Wei-Lin POSITION,LO Wei-Lin LAP TIME,LO Wei-Lin ELAPSED TIME
5,9.697,9.697,1,9.340,9.340,2,9.394,9.394,3,9.411,9.411,4,9.655,9.655,6,9.930,9.930
6,15.099,24.795,1,14.705,24.044,2,14.807,24.201,3,15.001,24.412,5,15.021,24.676,4,14.717,24.646
6,12.832,37.627,4,12.882,36.926,2,12.534,36.735,3,12.369,36.780,5,12.530,37.206,1,11.974,36.620
5,11.151,48.777,3,11.507,48.432,2,11.619,48.353,4,11.655,48.435,6,11.657,48.862,1,11.679,48.299
5,11.761,1:00.538,1,11.705,1:00.136,2,11.836,1:00.189,3,11.760,1:00.194,6,11.700,1:00.562,4,12.047,1:00.346
4,11.170,1:11.707,3,11.567,1:11.703,2,11.513,1:11.701,1,11.444,1:11.637,6,11.505,1:12.066,5,11.496,1:11.841
2,9.984,1:21.691,3,10.093,1:21.796,4,10.295,1:21.995,1,9.985,1:21.622,6,10.566,1:22.631,5,10.201,1:22.042
2,10.282,1:31.973,3,10.347,1:32.143,4,10.319,1:32.314,1,10.276,1:31.898,6,10.454,1:33.085,5,10.298,1:32.339
3,10.337,1:42.309,2,10.145,1:42.287,4,10.029,1:42.342,1,10.136,1:42.033,6,10.677,1:43.761,5,10.111,1:42.449
2,9.662,1:51.971,3,9.766,1:52.053,4,9.953,1:52.295,1,9.810,1:51.842,6,11.109,1:54.869,5,9.916,1:52.365
2,9.499,2:01.469,3,9.538,2:01.590,4,9.547,2:01.841,1,9.571,2:01.412,6,11.540,2:06.408,5,10.256,2:02.620
2,9.660,2:11.129,3,9.605,2:11.195,4,9.764,2:11.605,1,9.579,2:10.991,6,12.014,2:18.422,5,10.338,2:12.958
2,9.569,2:20.697,3,9.705,2:20.900,4,10.501,2:22.105,1,9.660,2:20.650,6,13.174,2:31.595,5,10.765,2:23.722
1,9.70,2:30.389,3,9.69,2:30.583,4,11.73,2:33.828,2,9.82,2:30.462,6,13.11,2:44.699,5,11.14,2:34.855
