SIGHEL Pietro POSITION,SIGHEL Pietro LAP TIME,SIGHEL Pietro ELAPSED TIME,Stribor SUMAN POSITION,Stribor SUMAN LAP TIME,Stribor SUMAN ELAPSED TIME,DESMET Stijn POSITION,DESMET Stijn LAP TIME,DESMET Stijn ELAPSED TIME,KIM Gun Woo POSITION,KIM Gun Woo LAP TIME,KIM Gun Woo ELAPSED TIME,Nicolas LABORDE POSITION,Nicolas LABORDE LAP TIME,Nicolas LABORDE ELAPSED TIME
2,6.94,6.94,5,7.60,7.60,1,6.82,6.82,3,7.19,7.19,4,7.32,7.32
2,8.78,15.72,5,9.98,17.58,1,8.84,15.66,3,8.67,15.86,4,9.09,16.41
2,8.38,24.10,5,9.49,27.07,1,8.33,23.99,3,8.25,24.11,4,8.83,25.24
3,8.56,32.66,5,9.49,36.56,1,8.44,32.43,2,8.36,32.47,4,8.94,34.18
3,8.53,41.19,5,9.72,46.285,2,8.67,41.10,1,8.43,40.90,4,9.14,43.32
