LI Kongchao POSITION,LI Kongchao LAP TIME,LI Kongchao ELAPSED TIME,Samuel GIRARD POSITION,Samuel GIRARD LAP TIME,Samuel GIRARD ELAPSED TIME,EYBOG Daniil POSITION,EYBOG Daniil LAP TIME,EYBOG Daniil ELAPSED TIME,HOOGERWERF Dylan POSITION,HOOGERWERF Dylan LAP TIME,HOOGERWERF Dylan ELAPSED TIME,SITNIKOV Pavel POSITION,SITNIKOV Pavel LAP TIME,SITNIKOV Pavel ELAPSED TIME
2,6.87,6.87,1,6.65,6.65,3,6.95,6.95,4,6.97,6.97,5,7.28,7.28
2,8.85,15.72,1,8.82,15.47,4,9.02,15.97,3,8.85,15.82,5,8.80,16.08
5,8.71,24.43,1,8.27,23.74,3,8.32,24.29,2,8.41,24.23,4,8.25,24.33
5,8.65,33.08,1,8.39,32.13,3,8.58,32.87,2,8.48,32.71,4,8.70,33.03
5,8.64,41.726,1,8.61,40.74,3,8.63,41.501,2,8.54,41.25,4,8.54,41.576
