Marta CAPURSO POSITION,Marta CAPURSO LAP TIME,Marta CAPURSO ELAPSED TIME,Kristina NZL1 POSITION,Kristina NZL1 LAP TIME,Kristina NZL1 ELAPSED TIME,Natsagnyam DUUREN POSITION,Natsagnyam DUUREN LAP TIME,Natsagnyam DUUREN ELAPSED TIME,Myrtille GOLLIN POSITION,Myrtille GOLLIN LAP TIME,Myrtille GOLLIN ELAPSED TIME,KANG Yun-Mi POSITION,KANG Yun-Mi LAP TIME,KANG Yun-Mi ELAPSED TIME
2,8.690,8.690,4,8.877,8.877,5,9.523,9.523,1,8.641,8.641,3,8.748,8.748
4,14.368,23.058,3,11.925,20.801,5,14.015,23.537,1,11.573,20.214,2,11.813,20.560
2,8.295,31.352,4,10.862,31.663,5,13.410,36.946,1,11.005,31.219,3,10.878,31.438
3,10.827,42.178,4,10.703,42.366,5,12.654,49.600,1,10.796,42.015,2,10.736,42.173
2,10.771,52.949,4,10.887,53.252,5,13.159,1:02.759,1,10.861,52.875,3,10.914,53.086
3,11.136,1:04.085,4,11.178,1:04.429,5,13.904,1:16.662,1,11.057,1:03.932,2,10.938,1:04.024
1,11.028,1:15.112,4,11.230,1:15.659,5,14.890,1:31.551,3,11.400,1:15.332,2,11.182,1:15.206
3,11.234,1:26.345,4,11.515,1:27.174,5,14.074,1:45.625,1,10.866,1:26.198,2,11.086,1:26.291
2,11.148,1:37.493,4,11.996,1:39.169,5,15.657,2:01.281,1,11.059,1:37.256,3,11.372,1:37.662
2,11.214,1:48.707,4,12.560,1:51.729,5,15.527,2:16.808,1,11.252,1:48.507,3,11.160,1:48.822
1,10.996,1:59.702,4,13.184,2:04.912,5,15.954,2:32.761,2,11.197,1:59.704,3,10.960,1:59.782
2,10.174,2:09.876,4,14.006,2:18.918,5,16.276,2:49.037,3,11.075,2:10.779,1,10.092,2:09.874
2,9.808,2:19.683,4,14.506,2:33.423,5,16.027,3:05.064,3,11.340,2:22.118,1,9.756,2:19.629
2,10.21,2:29.890,4,13.92,2:47.343,5,16.78,3:21.841,3,11.47,2:33.579,1,10.10,2:29.723
