Olga MASKAIKINA POSITION,Olga MASKAIKINA LAP TIME,Olga MASKAIKINA ELAPSED TIME,Biba SAKURAI POSITION,Biba SAKURAI LAP TIME,Biba SAKURAI ELAPSED TIME,Celine LECOMPERE POSITION,Celine LECOMPERE LAP TIME,Celine LECOMPERE ELAPSED TIME,Jorien ter MORS POSITION,Jorien ter MORS LAP TIME,Jorien ter MORS ELAPSED TIME
4,14.684,14.684,2,14.376,14.376,3,14.559,14.559,1,14.364,14.364
2,10.812,25.496,3,11.169,25.545,4,11.444,26.003,1,10.981,25.345
3,11.019,36.514,2,10.938,36.482,4,10.555,36.558,1,10.965,36.310
2,10.236,46.750,3,10.366,46.848,4,10.398,46.956,1,10.200,46.510
3,10.362,57.112,4,10.416,57.264,2,10.142,57.097,1,10.297,56.807
2,9.916,1:07.028,4,9.866,1:07.130,3,9.985,1:07.082,1,9.995,1:06.802
3,9.886,1:16.913,4,9.904,1:17.035,2,9.579,1:16.661,1,9.800,1:16.602
3,10.137,1:27.050,2,9.919,1:26.954,4,10.536,1:27.197,1,10.160,1:26.762
3,10.850,1:37.900,1,9.842,1:36.796,4,10.823,1:38.021,2,10.998,1:37.761
