KNEGT Sjinkie POSITION,KNEGT Sjinkie LAP TIME,KNEGT Sjinkie ELAPSED TIME,KIM Byeong Jun POSITION,KIM Byeong Jun LAP TIME,KIM Byeong Jun ELAPSED TIME,Olivier JEAN POSITION,Olivier JEAN LAP TIME,Olivier JEAN ELAPSED TIME
1,15.38,15.38,2,15.65,15.65,3,15.80,15.80
1,12.67,28.05,2,12.58,28.23,3,12.58,28.38
1,11.77,39.82,2,11.73,39.96,3,11.72,40.10
1,10.46,50.28,3,10.49,50.45,2,10.26,50.36
1,9.46,59.74,3,9.46,59.91,2,9.47,59.83
1,9.35,1:09.09,3,9.32,1:09.23,2,9.29,1:09.12
3,25.85,1:34.94,1,8.71,1:17.94,2,9.55,1:18.67
3,16.30,1:51.24,1,9.06,1:27.00,2,9.99,1:28.66
2,13.09,2:04.330,1,9.72,1:36.715,0,,PEN
