CONFORTOLA Yuri POSITION,CONFORTOLA Yuri LAP TIME,CONFORTOLA Yuri ELAPSED TIME,Freek van der WART POSITION,Freek van der WART LAP TIME,Freek van der WART ELAPSED TIME,Takahiro FUJIMOTO POSITION,Takahiro FUJIMOTO LAP TIME,Takahiro FUJIMOTO ELAPSED TIME,KWAK Yoon-Gy POSITION,KWAK Yoon-Gy LAP TIME,KWAK Yoon-Gy ELAPSED TIME
3,12.60,12.60,2,12.53,12.53,1,12.48,12.48,4,12.95,12.95
1,9.46,22.06,3,9.99,22.52,2,9.94,22.42,4,9.78,22.73
1,9.69,31.75,3,9.39,31.91,2,9.42,31.84,4,9.47,32.20
1,9.20,40.95,3,9.29,41.20,2,9.15,40.99,4,9.18,41.38
1,8.91,49.86,3,8.98,50.18,2,9.18,50.17,4,9.00,50.38
1,9.18,59.04,3,9.25,59.43,2,9.14,59.31,4,9.28,59.66
1,9.24,1:08.28,4,9.24,1:08.67,3,9.27,1:08.58,2,8.76,1:08.42
1,9.05,1:17.33,4,9.13,1:17.80,3,9.13,1:17.71,2,8.95,1:17.37
2,9.58,1:26.901,4,9.37,1:27.167,3,9.39,1:27.101,1,9.21,1:26.579
