Elena KAPLAN POSITION,Elena KAPLAN LAP TIME,Elena KAPLAN ELAPSED TIME,Marie-Andree MENDES-CAMPEAU POSITION,Marie-Andree MENDES-CAMPEAU LAP TIME,Marie-Andree MENDES-CAMPEAU ELAPSED TIME,Liesbeth MAU ASAM POSITION,Liesbeth MAU ASAM LAP TIME,Liesbeth MAU ASAM ELAPSED TIME,Debora SECCHI POSITION,Debora SECCHI LAP TIME,Debora SECCHI ELAPSED TIME,Patricia TOTH POSITION,Patricia TOTH LAP TIME,Patricia TOTH ELAPSED TIME,Gergana PATSOVA POSITION,Gergana PATSOVA LAP TIME,Gergana PATSOVA ELAPSED TIME
1,8.35,8.35,5,9.19,9.19,4,8.84,8.84,6,9.19,9.19,3,8.73,8.73,2,8.66,8.66
1,11.82,20.18,2,11.26,20.46,3,11.64,20.48,6,11.73,20.93,5,11.83,20.56,4,11.83,20.50
1,11.55,31.73,5,11.87,32.34,3,11.59,32.08,6,11.45,32.39,4,11.57,32.13,2,11.56,32.06
1,11.09,42.82,5,11.10,43.45,4,11.04,43.12,6,11.18,43.57,3,10.93,43.07,2,10.89,42.95
1,10.54,53.36,5,10.31,53.76,4,10.39,53.52,6,10.27,53.85,3,10.41,53.48,2,10.43,53.39
1,10.90,1:04.26,4,10.83,1:04.60,3,10.89,1:04.42,6,10.84,1:04.69,2,10.89,1:04.38,5,11.29,1:04.68
1,10.90,1:15.17,4,11.03,1:15.63,2,11.00,1:15.42,5,11.00,1:15.70,3,11.12,1:15.51,6,11.16,1:15.85
2,10.56,1:25.73,1,9.99,1:25.62,4,10.53,1:25.96,3,10.24,1:25.94,5,10.47,1:25.99,6,10.39,1:26.24
3,10.31,1:36.04,1,10.15,1:35.77,4,10.18,1:36.14,2,9.91,1:35.85,5,10.22,1:36.22,6,10.37,1:36.62
4,10.80,1:46.85,1,10.28,1:46.05,3,9.98,1:46.12,2,10.26,1:46.11,5,11.27,1:47.49,6,10.89,1:47.51
4,10.91,1:57.76,1,10.33,1:56.39,3,10.47,1:56.60,2,10.48,1:56.59,6,12.13,1:59.63,5,10.86,1:58.37
4,10.95,2:08.71,1,10.41,2:06.80,2,10.41,2:07.01,3,10.60,2:07.20,6,12.03,2:11.67,5,11.48,2:09.86
4,11.62,2:20.33,1,10.55,2:17.36,2,10.40,2:17.42,3,10.86,2:18.06,6,12.31,2:23.98,5,12.30,2:22.17
4,11.86,2:32.188,1,10.78,2:28.138,2,10.86,2:28.274,3,11.46,2:29.512,0,,DQ,5,12.93,2:35.098
